Current (A);Voltage (V);Electron current (pA) Run #20
-4.300E-12;17.789;4.300
-4.299E-12;17.793;4.299
-4.295E-12;17.790;4.295
-4.295E-12;17.794;4.295
-4.291E-12;17.793;4.291
-4.290E-12;17.793;4.290
-4.289E-12;17.794;4.289
-4.285E-12;17.797;4.285
-4.290E-12;17.792;4.290
-4.288E-12;17.795;4.288
-4.285E-12;17.795;4.285
-4.282E-12;17.795;4.282
-4.278E-12;17.792;4.278
-4.273E-12;17.792;4.273
-4.269E-12;17.795;4.269
-4.267E-12;17.794;4.267
-4.263E-12;17.795;4.263
-4.264E-12;17.788;4.264
-4.261E-12;17.794;4.261
-4.261E-12;17.793;4.261
-4.258E-12;17.795;4.258
-4.253E-12;17.794;4.253
-4.256E-12;17.789;4.256
-4.252E-12;17.794;4.252
-4.251E-12;17.793;4.251
-4.250E-12;17.794;4.250
-4.246E-12;17.793;4.246
-4.241E-12;17.786;4.241
-4.241E-12;17.792;4.241
-4.235E-12;17.794;4.235
-4.229E-12;17.793;4.229
-4.225E-12;17.794;4.225
-4.224E-12;17.794;4.224
-4.220E-12;17.793;4.220
-4.217E-12;17.791;4.217
-4.218E-12;17.792;4.218
-4.210E-12;17.796;4.210
-4.210E-12;17.792;4.210
-4.206E-12;17.790;4.206
-4.206E-12;17.792;4.206
-4.205E-12;17.792;4.205
-4.199E-12;17.794;4.199
-4.199E-12;17.794;4.199
-4.195E-12;17.795;4.195
-4.196E-12;17.794;4.196
-4.196E-12;17.807;4.196
-4.197E-12;17.882;4.197
-4.212E-12;17.935;4.212
-4.248E-12;17.955;4.248
-4.291E-12;18.011;4.291
-4.344E-12;18.078;4.344
-4.403E-12;18.121;4.403
-4.471E-12;18.176;4.471
-4.539E-12;18.236;4.539
-4.606E-12;18.293;4.606
-4.681E-12;18.370;4.681
-4.764E-12;18.475;4.764
-4.856E-12;18.595;4.856
-4.970E-12;18.708;4.970
-5.103E-12;18.860;5.103
-5.262E-12;19.065;5.262
-5.454E-12;19.166;5.454
-5.659E-12;19.205;5.659
-5.839E-12;19.220;5.839
-5.971E-12;19.226;5.971
-6.064E-12;19.234;6.064
-6.124E-12;19.358;6.124
-6.189E-12;19.547;6.189
-6.292E-12;19.643;6.292
-6.426E-12;19.687;6.426
-6.564E-12;19.701;6.564
-6.673E-12;19.712;6.673
-6.751E-12;19.708;6.751
-6.801E-12;19.721;6.801
-6.829E-12;19.722;6.829
-6.843E-12;19.723;6.843
-6.858E-12;19.728;6.858
-6.867E-12;19.730;6.867
-6.872E-12;19.741;6.872
-6.874E-12;19.730;6.874
-6.876E-12;19.745;6.876
-6.873E-12;19.738;6.873
-6.866E-12;19.729;6.866
-6.862E-12;19.731;6.862
-6.860E-12;19.725;6.860
-6.855E-12;19.731;6.855
-6.850E-12;19.730;6.850
-6.847E-12;19.732;6.847
-6.833E-12;19.729;6.833
-6.829E-12;19.732;6.829
-6.827E-12;19.733;6.827
-6.821E-12;19.728;6.821
-6.807E-12;19.731;6.807
-6.802E-12;19.730;6.802
-6.794E-12;19.730;6.794
-6.794E-12;19.731;6.794
-6.784E-12;19.732;6.784
-6.779E-12;19.729;6.779
-6.770E-12;19.731;6.770
-6.767E-12;19.730;6.767
-6.766E-12;19.728;6.766
-6.755E-12;19.729;6.755
-6.749E-12;19.730;6.749
-6.742E-12;19.730;6.742
-6.735E-12;19.731;6.735
-6.732E-12;19.729;6.732
-6.716E-12;19.730;6.716
-6.711E-12;19.730;6.711
-6.704E-12;19.728;6.704
-6.699E-12;19.729;6.699
-6.694E-12;19.733;6.694
-6.688E-12;19.762;6.688
-6.690E-12;19.835;6.690
-6.708E-12;19.883;6.708
-6.747E-12;19.918;6.747
-6.786E-12;19.966;6.786
-6.837E-12;20.064;6.837
-6.901E-12;20.173;6.901
-6.976E-12;20.267;6.976
-7.073E-12;20.348;7.073
-7.179E-12;20.455;7.179
-7.287E-12;20.574;7.287
-7.406E-12;20.723;7.406
-7.547E-12;20.884;7.547
-7.698E-12;20.999;7.698
-7.861E-12;21.062;7.861
-8.002E-12;21.086;8.002
-8.119E-12;21.099;8.119
-8.198E-12;21.103;8.198
-8.252E-12;21.105;8.252
-8.280E-12;21.106;8.280
-8.299E-12;21.107;8.299
-8.308E-12;21.105;8.308
-8.309E-12;21.106;8.309
-8.307E-12;21.099;8.307
-8.312E-12;21.109;8.312
-8.312E-12;21.104;8.312
-8.308E-12;21.106;8.308
-8.298E-12;21.106;8.298
-8.293E-12;21.107;8.293
-8.290E-12;21.109;8.290
-8.280E-12;21.107;8.280
-8.277E-12;21.101;8.277
-8.268E-12;21.107;8.268
-8.260E-12;21.110;8.260
-8.248E-12;21.108;8.248
-8.242E-12;21.108;8.242
-8.233E-12;21.107;8.233
-8.225E-12;21.109;8.225
-8.220E-12;21.101;8.220
-8.209E-12;21.114;8.209
-8.205E-12;21.108;8.205
-8.197E-12;21.107;8.197
-8.192E-12;21.110;8.192
-8.181E-12;21.108;8.181
-8.173E-12;21.108;8.173
-8.166E-12;21.108;8.166
-8.159E-12;21.107;8.159
-8.148E-12;21.107;8.148
-8.142E-12;21.107;8.142
-8.138E-12;21.101;8.138
-8.133E-12;21.107;8.133
-8.126E-12;21.130;8.126
-8.123E-12;21.159;8.123
-8.127E-12;21.171;8.127
-8.131E-12;21.239;8.131
-8.152E-12;21.315;8.152
-8.183E-12;21.347;8.183
-8.217E-12;21.362;8.217
-8.258E-12;21.400;8.258
-8.288E-12;21.449;8.288
-8.323E-12;21.477;8.323
-8.352E-12;21.515;8.352
-8.380E-12;21.616;8.380
-8.421E-12;21.792;8.421
-8.492E-12;21.975;8.492
-8.584E-12;22.101;8.584
-8.689E-12;22.197;8.689
-8.800E-12;22.296;8.800
-8.893E-12;22.390;8.893
-8.986E-12;22.492;8.986
-9.066E-12;22.596;9.066
-9.147E-12;22.669;9.147
-9.210E-12;22.719;9.210
-9.264E-12;22.744;9.264
-9.317E-12;22.751;9.317
-9.357E-12;22.754;9.357
-9.376E-12;22.755;9.376
-9.388E-12;22.765;9.388
-9.389E-12;22.755;9.389
-9.394E-12;22.754;9.394
-9.395E-12;22.757;9.395
-9.391E-12;22.754;9.391
-9.389E-12;22.753;9.389
-9.379E-12;22.747;9.379
-9.373E-12;22.755;9.373
-9.372E-12;22.756;9.372
-9.369E-12;22.757;9.369
-9.356E-12;22.757;9.356
-9.355E-12;22.753;9.355
-9.349E-12;22.755;9.349
-9.340E-12;22.755;9.340
-9.329E-12;22.755;9.329
-9.325E-12;22.755;9.325
-9.322E-12;22.753;9.322
-9.312E-12;22.753;9.312
-9.306E-12;22.755;9.306
-9.299E-12;22.758;9.299
-9.290E-12;22.755;9.290
-9.282E-12;22.755;9.282
-9.275E-12;22.753;9.275
-9.269E-12;22.756;9.269
-9.259E-12;22.754;9.259
-9.258E-12;22.744;9.258
-9.250E-12;22.754;9.250
-9.245E-12;22.753;9.245
-9.240E-12;22.752;9.240
-9.231E-12;22.756;9.231
-9.226E-12;22.755;9.226
-9.221E-12;22.756;9.221
-9.216E-12;22.753;9.216
-9.213E-12;22.755;9.213
-9.199E-12;22.755;9.199
-9.197E-12;22.768;9.197
-9.190E-12;22.803;9.190
-9.191E-12;22.840;9.191
-9.193E-12;22.888;9.193
-9.199E-12;22.959;9.199
-9.213E-12;23.016;9.213
-9.231E-12;23.036;9.231
-9.256E-12;23.053;9.256
-9.271E-12;23.120;9.271
-9.292E-12;23.188;9.292
-9.309E-12;23.274;9.309
-9.322E-12;23.356;9.322
-9.348E-12;23.468;9.348
-9.374E-12;23.581;9.374
-9.400E-12;23.676;9.400
-9.430E-12;23.761;9.430
-9.450E-12;23.883;9.450
-9.474E-12;23.996;9.474
-9.490E-12;24.095;9.490
-9.507E-12;24.216;9.507
-9.513E-12;24.328;9.513
-9.517E-12;24.408;9.517
-9.520E-12;24.463;9.520
-9.523E-12;24.525;9.523
-9.517E-12;24.551;9.517
-9.515E-12;24.558;9.515
-9.521E-12;24.565;9.521
-9.512E-12;24.566;9.512
-9.516E-12;24.557;9.516
-9.509E-12;24.564;9.509
-9.512E-12;24.567;9.512
-9.507E-12;24.565;9.507
-9.508E-12;24.564;9.508
-9.506E-12;24.564;9.506
-9.508E-12;24.569;9.508
-9.506E-12;24.565;9.506
-9.499E-12;24.560;9.499
-9.501E-12;24.597;9.501
-9.507E-12;24.686;9.507
-9.502E-12;24.744;9.502
-9.488E-12;24.790;9.488
-9.484E-12;24.861;9.484
-9.472E-12;24.929;9.472
-9.460E-12;25.000;9.460
-9.446E-12;25.059;9.446
-9.431E-12;25.100;9.431
-9.416E-12;25.140;9.416
-9.403E-12;25.233;9.403
-9.387E-12;25.332;9.387
-9.368E-12;25.377;9.368
-9.344E-12;25.404;9.344
-9.323E-12;25.456;9.323
-9.303E-12;25.531;9.303
-9.288E-12;25.628;9.288
-9.263E-12;25.752;9.263
-9.233E-12;25.832;9.233
-9.201E-12;25.852;9.201
-9.165E-12;25.894;9.165
-9.141E-12;25.956;9.141
-9.116E-12;26.016;9.116
-9.092E-12;26.047;9.092
-9.068E-12;26.058;9.068
-9.058E-12;26.064;9.058
-9.047E-12;26.061;9.047
-9.039E-12;26.066;9.039
-9.043E-12;26.066;9.043
-9.040E-12;26.065;9.040
-9.040E-12;26.066;9.040
-9.043E-12;26.066;9.043
-9.049E-12;26.065;9.049
-9.048E-12;26.066;9.048
-9.050E-12;26.066;9.050
-9.054E-12;26.066;9.054
-9.060E-12;26.065;9.060
-9.066E-12;26.066;9.066
-9.067E-12;26.066;9.067
-9.070E-12;26.079;9.070
-9.074E-12;26.171;9.074
-9.067E-12;26.304;9.067
-9.049E-12;26.383;9.049
-9.033E-12;26.410;9.033
-9.004E-12;26.421;9.004
-8.983E-12;26.443;8.983
-8.970E-12;26.471;8.970
-8.960E-12;26.487;8.960
-8.952E-12;26.513;8.952
-8.948E-12;26.564;8.948
-8.940E-12;26.644;8.940
-8.928E-12;26.691;8.928
-8.918E-12;26.712;8.918
-8.904E-12;26.776;8.904
-8.895E-12;26.826;8.895
-8.888E-12;26.858;8.888
-8.874E-12;26.914;8.874
-8.869E-12;26.970;8.869
-8.861E-12;26.993;8.861
-8.854E-12;27.000;8.854
-8.853E-12;27.001;8.853
-8.856E-12;27.003;8.856
-8.857E-12;27.005;8.857
-8.859E-12;27.004;8.859
-8.862E-12;27.011;8.862
-8.866E-12;27.005;8.866
-8.870E-12;27.004;8.870
-8.881E-12;27.005;8.881
-8.890E-12;27.004;8.890
-8.901E-12;27.005;8.901
-8.910E-12;27.004;8.910
-8.920E-12;27.003;8.920
-8.928E-12;27.009;8.928
-8.933E-12;27.004;8.933
-8.941E-12;27.039;8.941
-8.946E-12;27.102;8.946
-8.954E-12;27.127;8.954
-8.952E-12;27.124;8.952
-8.952E-12;27.154;8.952
-8.955E-12;27.218;8.955
-8.959E-12;27.263;8.959
-8.964E-12;27.322;8.964
-8.969E-12;27.393;8.969
-8.974E-12;27.469;8.974
-8.982E-12;27.544;8.982
-8.991E-12;27.608;8.991
-9.007E-12;27.676;9.007
-9.027E-12;27.736;9.027
-9.053E-12;27.835;9.053
-9.077E-12;27.901;9.077
-9.115E-12;27.959;9.115
-9.161E-12;28.028;9.161
-9.205E-12;28.077;9.205
-9.257E-12;28.138;9.257
-9.311E-12;28.185;9.311
-9.371E-12;28.267;9.371
-9.432E-12;28.337;9.432
-9.500E-12;28.435;9.500
-9.582E-12;28.491;9.582
-9.668E-12;28.524;9.668
-9.752E-12;28.557;9.752
-9.829E-12;28.612;9.829
-9.902E-12;28.677;9.902
-9.973E-12;28.753;9.973
-1.006E-11;28.817;10.058
-1.016E-11;28.886;10.159
-1.027E-11;28.958;10.267
-1.038E-11;29.017;10.384
-1.050E-11;29.059;10.502
-1.062E-11;29.080;10.616
-1.072E-11;29.086;10.719
-1.080E-11;29.090;10.800
-1.086E-11;29.092;10.864
-1.091E-11;29.094;10.911
-1.094E-11;29.092;10.944
-1.098E-11;29.088;10.977
-1.100E-11;29.093;11.004
-1.103E-11;29.092;11.026
-1.105E-11;29.094;11.046
-1.106E-11;29.092;11.061
-1.108E-11;29.092;11.085
-1.110E-11;29.099;11.098
-1.112E-11;29.091;11.115
-1.112E-11;29.087;11.124
-1.114E-11;29.088;11.140
-1.116E-11;29.088;11.156
-1.117E-11;29.091;11.169
-1.118E-11;29.092;11.177
-1.120E-11;29.091;11.195
-1.120E-11;29.092;11.204
-1.122E-11;29.093;11.217
-1.123E-11;29.093;11.228
-1.124E-11;29.090;11.239
-1.125E-11;29.092;11.252
-1.127E-11;29.092;11.266
-1.128E-11;29.092;11.278
-1.129E-11;29.092;11.288
-1.130E-11;29.093;11.299
-1.131E-11;29.094;11.311
-1.132E-11;29.097;11.322
-1.133E-11;29.091;11.334
-1.134E-11;29.087;11.345
-1.136E-11;29.093;11.357
-1.137E-11;29.093;11.367
-1.138E-11;29.102;11.381
-1.139E-11;29.137;11.386
-1.141E-11;29.165;11.414
-1.145E-11;29.184;11.445
-1.150E-11;29.230;11.498
-1.156E-11;29.278;11.557
-1.163E-11;29.306;11.627
-1.170E-11;29.338;11.701
-1.178E-11;29.353;11.781
-1.185E-11;29.359;11.850
-1.190E-11;29.361;11.905
-1.195E-11;29.364;11.953
-1.199E-11;29.405;11.994
-1.203E-11;29.460;12.028
-1.209E-11;29.493;12.086
-1.216E-11;29.554;12.161
-1.225E-11;29.651;12.252
-1.237E-11;29.713;12.371
-1.252E-11;29.766;12.517
-1.267E-11;29.860;12.668
-1.283E-11;29.939;12.830
-1.302E-11;29.997;13.019
-1.321E-11;30.039;13.212
-1.339E-11;30.060;13.388
-1.354E-11;30.102;13.541
-1.367E-11;30.156;13.669
-1.379E-11;30.201;13.793
-1.392E-11;30.266;13.916
-1.405E-11;30.326;14.055
-1.420E-11;30.350;14.202
-1.434E-11;30.363;14.341
-1.446E-11;30.363;14.456
-1.455E-11;30.364;14.545
-1.461E-11;30.368;14.613
-1.465E-11;30.367;14.653
-1.468E-11;30.366;14.682
-1.470E-11;30.366;14.702
-1.472E-11;30.364;14.719
-1.473E-11;30.360;14.732
-1.474E-11;30.365;14.740
-1.475E-11;30.366;14.753
-1.476E-11;30.366;14.762
-1.477E-11;30.366;14.770
-1.478E-11;30.366;14.781
-1.479E-11;30.367;14.789
-1.479E-11;30.362;14.792
-1.480E-11;30.368;14.801
-1.481E-11;30.366;14.805
-1.481E-11;30.368;14.809
-1.481E-11;30.371;14.813
-1.482E-11;30.364;14.821
-1.482E-11;30.369;14.823
-1.483E-11;30.366;14.827
-1.483E-11;30.385;14.833
-1.485E-11;30.438;14.845
-1.489E-11;30.471;14.885
-1.495E-11;30.475;14.949
-1.501E-11;30.490;15.013
-1.508E-11;30.514;15.077
-1.514E-11;30.535;15.136
-1.520E-11;30.561;15.202
-1.526E-11;30.578;15.263
-1.533E-11;30.613;15.330
-1.539E-11;30.647;15.393
-1.547E-11;30.684;15.470
-1.555E-11;30.708;15.554
-1.564E-11;30.737;15.642
-1.572E-11;30.762;15.723
-1.580E-11;30.792;15.798
-1.588E-11;30.816;15.881
-1.596E-11;30.839;15.959
-1.603E-11;30.864;16.031
-1.610E-11;30.898;16.102
-1.618E-11;30.945;16.182
-1.627E-11;30.997;16.273
-1.637E-11;31.049;16.374
-1.649E-11;31.080;16.486
-1.660E-11;31.116;16.598
-1.671E-11;31.174;16.707
-1.682E-11;31.235;16.816
-1.694E-11;31.296;16.941
-1.708E-11;31.331;17.079
-1.721E-11;31.370;17.208
-1.734E-11;31.410;17.338
-1.746E-11;31.429;17.460
-1.756E-11;31.437;17.563
-1.764E-11;31.451;17.645
-1.771E-11;31.457;17.715
-1.776E-11;31.458;17.760
-1.779E-11;31.457;17.794
-1.781E-11;31.457;17.814
-1.783E-11;31.475;17.831
-1.784E-11;31.461;17.840
-1.785E-11;31.460;17.846
-1.785E-11;31.462;17.853
-1.786E-11;31.457;17.859
-1.786E-11;31.460;17.861
-1.787E-11;31.461;17.865
-1.786E-11;31.459;17.864
-1.787E-11;31.455;17.866
-1.786E-11;31.460;17.863
-1.786E-11;31.460;17.862
-1.787E-11;31.457;17.867
-1.786E-11;31.459;17.865
-1.787E-11;31.463;17.866
-1.787E-11;31.459;17.866
-1.787E-11;31.459;17.871
-1.787E-11;31.458;17.871
-1.787E-11;31.474;17.869
-1.787E-11;31.476;17.872
-1.788E-11;31.498;17.883
-1.790E-11;31.532;17.903
-1.794E-11;31.532;17.938
-1.798E-11;31.554;17.978
-1.802E-11;31.554;18.016
-1.805E-11;31.559;18.051
-1.807E-11;31.558;18.074
-1.809E-11;31.581;18.092
-1.811E-11;31.611;18.110
-1.815E-11;31.625;18.145
-1.818E-11;31.631;18.179
-1.822E-11;31.629;18.216
-1.825E-11;31.629;18.249
-1.827E-11;31.632;18.273
-1.829E-11;31.631;18.288
-1.829E-11;31.629;18.294
-1.830E-11;31.632;18.300
-1.830E-11;31.632;18.299
-1.830E-11;31.633;18.302
-1.830E-11;31.639;18.303
-1.831E-11;31.631;18.307
-1.831E-11;31.631;18.306
-1.831E-11;31.631;18.310
-1.831E-11;31.632;18.312
-1.831E-11;31.633;18.312
-1.831E-11;31.632;18.309
-1.831E-11;31.632;18.314
-1.831E-11;31.633;18.311
-1.831E-11;31.641;18.310
-1.831E-11;31.678;18.312
-1.833E-11;31.714;18.333
-1.838E-11;31.722;18.378
-1.842E-11;31.730;18.421
-1.846E-11;31.728;18.459
-1.849E-11;31.739;18.492
-1.852E-11;31.752;18.520
-1.854E-11;31.788;18.539
-1.857E-11;31.864;18.574
-1.864E-11;31.951;18.637
-1.873E-11;32.017;18.732
-1.886E-11;32.091;18.864
-1.901E-11;32.156;19.014
-1.918E-11;32.230;19.176
-1.934E-11;32.272;19.335
-1.948E-11;32.296;19.479
-1.959E-11;32.314;19.591
-1.968E-11;32.344;19.680
-1.975E-11;32.378;19.752
-1.982E-11;32.393;19.821
-1.988E-11;32.404;19.878
-1.992E-11;32.392;19.923
-1.996E-11;32.413;19.958
-1.999E-11;32.420;19.990
-2.001E-11;32.418;20.007
-2.003E-11;32.414;20.025
-2.004E-11;32.422;20.039
-2.004E-11;32.421;20.045
-2.005E-11;32.422;20.047
-2.005E-11;32.420;20.049
-2.005E-11;32.421;20.049
-2.005E-11;32.422;20.047
-2.004E-11;32.421;20.044
-2.004E-11;32.422;20.040
-2.004E-11;32.429;20.040
-2.004E-11;32.450;20.037
-2.004E-11;32.475;20.045
-2.007E-11;32.494;20.068
-2.009E-11;32.523;20.090
-2.012E-11;32.542;20.120
-2.015E-11;32.561;20.154
-2.019E-11;32.582;20.189
-2.022E-11;32.611;20.222
-2.026E-11;32.631;20.258
-2.029E-11;32.647;20.295
-2.033E-11;32.667;20.333
-2.036E-11;32.680;20.364
-2.039E-11;32.705;20.395
-2.042E-11;32.754;20.425
-2.047E-11;32.789;20.466
-2.050E-11;32.825;20.504
-2.056E-11;32.882;20.558
-2.061E-11;32.932;20.609
-2.067E-11;32.951;20.668
-2.073E-11;32.958;20.727
-2.078E-11;32.962;20.777
-2.081E-11;32.973;20.807
-2.083E-11;32.985;20.833
-2.085E-11;32.999;20.849
-2.087E-11;33.003;20.868
-2.088E-11;33.061;20.882
-2.090E-11;33.086;20.904
-2.093E-11;33.096;20.930
-2.096E-11;33.102;20.961
-2.098E-11;33.104;20.985
-2.100E-11;33.104;21.003
-2.101E-11;33.104;21.013
-2.102E-11;33.104;21.021
-2.103E-11;33.104;21.026
-2.103E-11;33.104;21.028
-2.103E-11;33.109;21.027
-2.103E-11;33.103;21.025
-2.103E-11;33.105;21.026
-2.103E-11;33.103;21.025
-2.102E-11;33.104;21.024
-2.102E-11;33.103;21.018
-2.101E-11;33.109;21.014
-2.101E-11;33.104;21.010
-2.101E-11;33.122;21.014
-2.102E-11;33.159;21.017
-2.103E-11;33.210;21.026
-2.105E-11;33.287;21.050
-2.108E-11;33.365;21.084
-2.114E-11;33.428;21.138
-2.119E-11;33.511;21.193
-2.126E-11;33.575;21.257
-2.131E-11;33.649;21.309
-2.136E-11;33.703;21.357
-2.139E-11;33.763;21.391
-2.143E-11;33.797;21.425
-2.145E-11;33.856;21.455
-2.147E-11;33.934;21.471
-2.149E-11;34.020;21.487
-2.150E-11;34.091;21.497
-2.150E-11;34.147;21.501
-2.150E-11;34.210;21.500
-2.149E-11;34.282;21.494
-2.148E-11;34.342;21.481
-2.146E-11;34.390;21.462
-2.144E-11;34.449;21.440
-2.141E-11;34.498;21.412
-2.138E-11;34.539;21.382
-2.136E-11;34.592;21.356
-2.132E-11;34.654;21.320
-2.127E-11;34.699;21.275
-2.123E-11;34.724;21.233
-2.119E-11;34.734;21.191
-2.115E-11;34.737;21.153
-2.112E-11;34.740;21.123
-2.111E-11;34.740;21.109
-2.109E-11;34.749;21.094
-2.110E-11;34.742;21.096
-2.109E-11;34.736;21.094
-2.110E-11;34.741;21.097
-2.110E-11;34.739;21.102
-2.110E-11;34.741;21.101
-2.110E-11;34.741;21.101
-2.110E-11;34.740;21.105
-2.111E-11;34.741;21.112
-2.111E-11;34.741;21.115
-2.112E-11;34.741;21.120
-2.113E-11;34.737;21.129
-2.113E-11;34.740;21.134
-2.114E-11;34.737;21.136
-2.114E-11;34.741;21.141
-2.115E-11;34.739;21.147
-2.115E-11;34.739;21.155
-2.115E-11;34.743;21.153
-2.116E-11;34.749;21.157
-2.116E-11;34.753;21.158
-2.116E-11;34.757;21.163
-2.116E-11;34.785;21.163
-2.116E-11;34.845;21.161
-2.114E-11;34.884;21.141
-2.111E-11;34.916;21.106
-2.107E-11;34.969;21.068
-2.103E-11;35.041;21.027
-2.097E-11;35.114;20.969
-2.089E-11;35.237;20.889
-2.079E-11;35.337;20.792
-2.066E-11;35.401;20.663
-2.052E-11;35.446;20.520
-2.039E-11;35.494;20.390
-2.028E-11;35.516;20.280
-2.018E-11;35.551;20.184
-2.010E-11;35.597;20.095
-2.002E-11;35.652;20.016
-1.993E-11;35.705;19.928
-1.983E-11;35.776;19.832
-1.973E-11;35.829;19.729
-1.961E-11;35.864;19.607
-1.949E-11;35.892;19.490
-1.939E-11;35.907;19.388
-1.930E-11;35.914;19.300
-1.924E-11;35.914;19.237
-1.919E-11;35.920;19.190
-1.916E-11;35.921;19.159
-1.915E-11;35.920;19.147
-1.914E-11;35.921;19.140
-1.914E-11;35.922;19.136
-1.914E-11;35.922;19.138
-1.915E-11;35.922;19.148
-1.915E-11;35.917;19.153
-1.916E-11;35.937;19.160
-1.916E-11;35.975;19.164
-1.915E-11;36.031;19.151
-1.910E-11;36.092;19.096
-1.902E-11;36.165;19.022
-1.891E-11;36.217;18.912
-1.878E-11;36.237;18.781
-1.867E-11;36.288;18.669
-1.855E-11;36.417;18.553
-1.841E-11;36.478;18.409
-1.824E-11;36.503;18.237
-1.808E-11;36.509;18.079
-1.795E-11;36.514;17.946
-1.786E-11;36.514;17.857
-1.780E-11;36.511;17.804
-1.777E-11;36.517;17.773
-1.776E-11;36.516;17.760
-1.775E-11;36.515;17.755
-1.775E-11;36.515;17.754
-1.776E-11;36.518;17.756
-1.776E-11;36.517;17.757
-1.776E-11;36.515;17.765
-1.777E-11;36.521;17.774
-1.779E-11;36.519;17.785
-1.779E-11;36.545;17.793
-1.779E-11;36.576;17.789
-1.777E-11;36.601;17.768
-1.773E-11;36.641;17.727
-1.768E-11;36.657;17.677
-1.761E-11;36.667;17.614
-1.755E-11;36.687;17.554
-1.751E-11;36.697;17.508
-1.747E-11;36.723;17.465
-1.743E-11;36.736;17.429
-1.738E-11;36.765;17.382
-1.733E-11;36.799;17.333
-1.728E-11;36.832;17.275
-1.720E-11;36.849;17.201
-1.713E-11;36.854;17.128
-1.707E-11;36.867;17.066
-1.701E-11;36.911;17.015
-1.696E-11;36.946;16.958
-1.690E-11;36.971;16.895
-1.682E-11;37.013;16.824
-1.674E-11;37.044;16.741
-1.666E-11;37.062;16.660
-1.658E-11;37.102;16.579
-1.650E-11;37.140;16.500
-1.641E-11;37.172;16.412
-1.632E-11;37.206;16.324
-1.623E-11;37.224;16.235
-1.615E-11;37.233;16.147
-1.608E-11;37.238;16.082
-1.604E-11;37.241;16.035
-1.600E-11;37.245;16.001
-1.598E-11;37.240;15.985
-1.598E-11;37.241;15.980
-1.598E-11;37.240;15.980
-1.598E-11;37.241;15.982
-1.598E-11;37.238;15.984
-1.599E-11;37.243;15.995
-1.601E-11;37.240;16.006
-1.601E-11;37.241;16.012
-1.602E-11;37.252;16.021
-1.603E-11;37.324;16.029
-1.599E-11;37.418;15.990
-1.590E-11;37.466;15.903
-1.578E-11;37.508;15.776
-1.563E-11;37.564;15.633
-1.549E-11;37.601;15.492
-1.535E-11;37.656;15.351
-1.521E-11;37.704;15.211
-1.508E-11;37.716;15.076
-1.496E-11;37.740;14.959
-1.487E-11;37.768;14.870
-1.479E-11;37.779;14.791
-1.473E-11;37.803;14.726
-1.468E-11;37.832;14.676
-1.462E-11;37.861;14.619
-1.456E-11;37.876;14.559
-1.450E-11;37.913;14.503
-1.445E-11;37.966;14.447
-1.437E-11;38.003;14.375
-1.429E-11;38.040;14.289
-1.421E-11;38.074;14.207
-1.412E-11;38.121;14.122
-1.403E-11;38.193;14.033
-1.395E-11;38.283;13.946
-1.383E-11;38.352;13.834
-1.371E-11;38.375;13.707
-1.359E-11;38.421;13.589
-1.348E-11;38.434;13.483
-1.340E-11;38.457;13.397
-1.333E-11;38.473;13.329
-1.328E-11;38.497;13.285
-1.324E-11;38.511;13.241
-1.321E-11;38.515;13.211
-1.319E-11;38.518;13.191
-1.318E-11;38.518;13.179
-1.317E-11;38.538;13.170
-1.316E-11;38.550;13.164
-1.316E-11;38.579;13.156
-1.316E-11;38.608;13.156
-1.314E-11;38.645;13.138
-1.312E-11;38.709;13.117
-1.309E-11;38.771;13.091
-1.305E-11;38.830;13.051
-1.301E-11;38.876;13.008
-1.297E-11;38.906;12.971
-1.294E-11;38.933;12.939
-1.292E-11;38.940;12.921
-1.291E-11;38.977;12.913
-1.291E-11;38.994;12.912
-1.292E-11;38.999;12.916
-1.292E-11;39.000;12.922
-1.293E-11;39.003;12.929
-1.294E-11;39.004;12.943
-1.296E-11;39.004;12.958
-1.297E-11;39.002;12.972
-1.298E-11;39.003;12.980
-1.300E-11;39.003;12.997
-1.302E-11;38.995;13.016
-1.303E-11;39.003;13.030
-1.305E-11;39.006;13.051
-1.306E-11;39.041;13.065
-1.309E-11;39.135;13.089
-1.310E-11;39.197;13.103
-1.312E-11;39.217;13.120
-1.314E-11;39.233;13.145
-1.318E-11;39.250;13.178
-1.320E-11;39.267;13.204
-1.323E-11;39.302;13.234
-1.327E-11;39.329;13.268
-1.330E-11;39.375;13.299
-1.335E-11;39.452;13.352
-1.341E-11;39.501;13.411
-1.349E-11;39.532;13.491
-1.357E-11;39.571;13.567
-1.365E-11;39.598;13.649
-1.372E-11;39.622;13.722
-1.380E-11;39.648;13.802
-1.388E-11;39.685;13.879
-1.396E-11;39.717;13.960
-1.404E-11;39.751;14.038
-1.413E-11;39.794;14.131
-1.424E-11;39.845;14.237
-1.435E-11;39.881;14.351
-1.447E-11;39.924;14.475
-1.461E-11;39.952;14.612
-1.475E-11;40.002;14.749
-1.490E-11;40.060;14.896
-1.506E-11;40.088;15.057
-1.523E-11;40.092;15.226
-1.539E-11;40.120;15.385
-1.552E-11;40.161;15.523
-1.565E-11;40.179;15.649
-1.578E-11;40.186;15.778
-1.589E-11;40.195;15.892
-1.598E-11;40.194;15.984
-1.606E-11;40.215;16.060
-1.613E-11;40.240;16.132
-1.621E-11;40.245;16.211
-1.630E-11;40.268;16.296
-1.640E-11;40.323;16.396
-1.651E-11;40.360;16.510
-1.666E-11;40.394;16.656
-1.682E-11;40.407;16.818
