Current (A);Voltage (V);Electron current (pA) Run #20
-2.626E-13;12.984;0.263
-2.840E-13;13.011;0.284
-3.138E-13;13.027;0.314
-3.322E-13;13.040;0.332
-3.477E-13;13.059;0.348
-3.569E-13;13.117;0.357
-3.661E-13;13.148;0.366
-3.781E-13;13.161;0.378
-3.973E-13;13.165;0.397
-4.069E-13;13.182;0.407
-4.112E-13;13.208;0.411
-4.202E-13;13.258;0.420
-4.361E-13;13.282;0.436
-4.487E-13;13.292;0.449
-4.579E-13;13.296;0.458
-4.621E-13;13.302;0.462
-4.650E-13;13.297;0.465
-4.693E-13;13.296;0.469
-4.745E-13;13.299;0.475
-4.757E-13;13.306;0.476
-4.741E-13;13.335;0.474
-4.792E-13;13.339;0.479
-4.851E-13;13.347;0.485
-4.955E-13;13.351;0.496
-5.029E-13;13.352;0.503
-5.007E-13;13.361;0.501
-5.071E-13;13.367;0.507
-5.077E-13;13.384;0.508
-5.101E-13;13.392;0.510
-5.153E-13;13.406;0.515
-5.218E-13;13.413;0.522
-5.260E-13;13.426;0.526
-5.268E-13;13.441;0.527
-5.359E-13;13.446;0.536
-5.387E-13;13.449;0.539
-5.421E-13;13.448;0.542
-5.419E-13;13.448;0.542
-5.472E-13;13.457;0.547
-5.486E-13;13.461;0.549
-5.490E-13;13.463;0.549
-5.506E-13;13.467;0.551
-5.521E-13;13.468;0.552
-5.511E-13;13.467;0.551
-5.492E-13;13.474;0.549
-5.488E-13;13.467;0.549
-5.529E-13;13.465;0.553
-5.525E-13;13.468;0.553
-5.502E-13;13.468;0.550
-5.508E-13;13.466;0.551
-5.492E-13;13.472;0.549
-5.483E-13;13.466;0.548
-5.477E-13;13.473;0.548
-5.509E-13;13.481;0.551
-5.593E-13;13.486;0.559
-5.566E-13;13.500;0.557
-5.609E-13;13.512;0.561
-5.615E-13;13.506;0.562
-5.667E-13;13.507;0.567
-5.645E-13;13.509;0.564
-5.646E-13;13.517;0.565
-5.717E-13;13.524;0.572
-5.711E-13;13.527;0.571
-5.689E-13;13.528;0.569
-5.768E-13;13.529;0.577
-5.791E-13;13.530;0.579
-5.773E-13;13.529;0.577
-5.797E-13;13.529;0.580
-5.781E-13;13.531;0.578
-5.779E-13;13.534;0.578
-5.802E-13;13.567;0.580
-5.864E-13;13.588;0.586
-5.910E-13;13.595;0.591
-5.961E-13;13.599;0.596
-5.996E-13;13.603;0.600
-6.081E-13;13.612;0.608
-6.100E-13;13.617;0.610
-6.116E-13;13.620;0.612
-6.201E-13;13.619;0.620
-6.192E-13;13.619;0.619
