Current (A);Voltage (V);Electron current (pA) Run #23
-7.414E-12;22.919;7.414
-7.429E-12;23.078;7.429
-7.458E-12;23.144;7.458
-7.483E-12;23.169;7.483
-7.513E-12;23.293;7.513
-7.535E-12;23.496;7.535
-7.568E-12;23.566;7.568
-7.605E-12;23.632;7.605
-7.632E-12;23.719;7.632
-7.657E-12;23.752;7.657
-7.674E-12;23.765;7.674
-7.691E-12;23.772;7.691
-7.697E-12;23.809;7.697
-7.704E-12;23.855;7.704
-7.707E-12;23.904;7.707
-7.713E-12;24.001;7.713
-7.717E-12;24.047;7.717
-7.722E-12;24.084;7.722
-7.724E-12;24.190;7.724
-7.729E-12;24.248;7.729
-7.732E-12;24.275;7.732
-7.732E-12;24.353;7.732
-7.732E-12;24.413;7.732
-7.733E-12;24.435;7.733
-7.724E-12;24.498;7.724
-7.728E-12;24.617;7.728
-7.727E-12;24.670;7.727
-7.715E-12;24.737;7.715
-7.707E-12;24.857;7.707
-7.694E-12;24.911;7.694
-7.688E-12;24.960;7.688
-7.679E-12;25.014;7.679
-7.666E-12;25.031;7.666
-7.651E-12;25.078;7.651
-7.645E-12;25.179;7.645
-7.632E-12;25.225;7.632
-7.612E-12;25.268;7.612
-7.595E-12;25.382;7.595
-7.577E-12;25.435;7.577
-7.561E-12;25.454;7.561
-7.543E-12;25.529;7.543
-7.529E-12;25.594;7.529
-7.512E-12;25.618;7.512
-7.498E-12;25.629;7.498
-7.486E-12;25.631;7.486
-7.474E-12;25.675;7.474
-7.467E-12;25.758;7.467
-7.458E-12;25.799;7.458
-7.443E-12;25.816;7.443
-7.431E-12;25.834;7.431
-7.423E-12;25.896;7.423
-7.410E-12;25.951;7.410
-7.394E-12;25.964;7.394
-7.391E-12;25.970;7.391
-7.381E-12;26.012;7.381
-7.372E-12;26.124;7.372
-7.359E-12;26.238;7.359
-7.338E-12;26.275;7.338
-7.319E-12;26.290;7.319
-7.293E-12;26.298;7.293
-7.278E-12;26.313;7.278
-7.267E-12;26.360;7.267
-7.258E-12;26.381;7.258
-7.252E-12;26.394;7.252
-7.248E-12;26.393;7.248
-7.243E-12;26.426;7.243
-7.239E-12;26.465;7.239
-7.236E-12;26.479;7.236
-7.231E-12;26.484;7.231
-7.226E-12;26.488;7.226
-7.229E-12;26.510;7.229
-7.224E-12;26.540;7.224
-7.226E-12;26.558;7.226
-7.217E-12;26.566;7.217
-7.215E-12;26.575;7.215
-7.213E-12;26.626;7.213
-7.213E-12;26.704;7.213
-7.202E-12;26.734;7.202
-7.201E-12;26.753;7.201
-7.192E-12;26.754;7.192
-7.182E-12;26.757;7.182
-7.182E-12;26.788;7.182
-7.181E-12;26.829;7.181
-7.177E-12;26.841;7.177
-7.180E-12;26.843;7.180
-7.182E-12;26.848;7.182
-7.179E-12;26.853;7.179
-7.179E-12;26.876;7.179
-7.183E-12;26.929;7.183
-7.182E-12;26.965;7.182
-7.178E-12;26.980;7.178
-7.174E-12;26.981;7.174
-7.175E-12;26.986;7.175
-7.176E-12;27.017;7.176
-7.181E-12;27.115;7.181
-7.180E-12;27.183;7.180
-7.179E-12;27.217;7.179
-7.173E-12;27.229;7.173
-7.170E-12;27.238;7.170
-7.172E-12;27.266;7.172
-7.173E-12;27.351;7.173
-7.172E-12;27.398;7.172
-7.177E-12;27.413;7.177
-7.180E-12;27.415;7.180
-7.184E-12;27.415;7.184
-7.191E-12;27.495;7.191
-7.198E-12;27.596;7.198
-7.205E-12;27.632;7.205
-7.218E-12;27.654;7.218
-7.228E-12;27.663;7.228
-7.244E-12;27.660;7.244
-7.251E-12;27.681;7.251
-7.263E-12;27.762;7.263
-7.268E-12;27.798;7.268
-7.283E-12;27.817;7.283
-7.300E-12;27.825;7.300
-7.311E-12;27.827;7.311
-7.329E-12;27.830;7.329
-7.341E-12;27.857;7.341
-7.357E-12;27.979;7.357
-7.375E-12;28.058;7.375
-7.408E-12;28.088;7.408
-7.437E-12;28.099;7.437
-7.468E-12;28.107;7.468
-7.494E-12;28.106;7.494
-7.516E-12;28.105;7.516
-7.531E-12;28.104;7.531
-7.542E-12;28.105;7.542
-7.554E-12;28.138;7.554
-7.571E-12;28.177;7.571
-7.584E-12;28.193;7.584
-7.607E-12;28.198;7.607
-7.630E-12;28.198;7.630
-7.652E-12;28.212;7.652
-7.670E-12;28.293;7.670
-7.693E-12;28.353;7.693
-7.724E-12;28.377;7.724
-7.763E-12;28.383;7.763
-7.803E-12;28.390;7.803
-7.831E-12;28.416;7.831
-7.863E-12;28.483;7.863
-7.897E-12;28.515;7.897
-7.934E-12;28.526;7.934
-7.973E-12;28.533;7.973
-8.004E-12;28.564;8.004
-8.038E-12;28.593;8.038
-8.071E-12;28.605;8.071
-8.102E-12;28.618;8.102
-8.133E-12;28.647;8.133
-8.163E-12;28.683;8.163
-8.193E-12;28.714;8.193
-8.236E-12;28.735;8.236
-8.274E-12;28.738;8.274
-8.310E-12;28.802;8.310
-8.350E-12;28.921;8.350
-8.415E-12;28.971;8.415
-8.497E-12;29.005;8.497
-8.586E-12;29.067;8.586
-8.676E-12;29.099;8.676
-8.758E-12;29.112;8.758
-8.822E-12;29.138;8.822
-8.885E-12;29.230;8.885
-8.953E-12;29.287;8.953
-9.038E-12;29.304;9.038
-9.128E-12;29.337;9.128
-9.209E-12;29.408;9.209
-9.303E-12;29.451;9.303
-9.400E-12;29.475;9.400
-9.493E-12;29.475;9.493
-9.558E-12;29.470;9.558
-9.613E-12;29.484;9.613
-9.655E-12;29.584;9.655
-9.716E-12;29.663;9.716
-9.807E-12;29.687;9.807
-9.904E-12;29.704;9.904
-1.001E-11;29.836;10.005
-1.012E-11;29.936;10.118
-1.026E-11;29.972;10.258
-1.041E-11;30.016;10.410
-1.055E-11;30.127;10.550
-1.071E-11;30.202;10.705
-1.087E-11;30.226;10.868
-1.102E-11;30.262;11.021
-1.116E-11;30.372;11.162
-1.132E-11;30.434;11.317
-1.148E-11;30.462;11.478
-1.163E-11;30.507;11.627
-1.176E-11;30.587;11.763
-1.190E-11;30.630;11.902
-1.203E-11;30.652;12.035
-1.215E-11;30.701;12.154
-1.227E-11;30.746;12.272
-1.238E-11;30.765;12.384
-1.248E-11;30.795;12.483
-1.258E-11;30.897;12.578
-1.269E-11;30.951;12.687
-1.281E-11;30.979;12.812
-1.294E-11;31.059;12.940
-1.308E-11;31.099;13.078
-1.322E-11;31.126;13.225
-1.336E-11;31.150;13.357
-1.347E-11;31.201;13.466
-1.356E-11;31.224;13.564
-1.365E-11;31.235;13.654
-1.373E-11;31.290;13.732
-1.380E-11;31.343;13.804
-1.389E-11;31.364;13.888
-1.397E-11;31.369;13.973
-1.405E-11;31.362;14.050
-1.410E-11;31.375;14.102
-1.415E-11;31.446;14.146
-1.420E-11;31.517;14.202
-1.428E-11;31.542;14.279
-1.437E-11;31.567;14.372
-1.446E-11;31.618;14.463
-1.455E-11;31.653;14.550
-1.465E-11;31.669;14.645
-1.472E-11;31.721;14.719
-1.480E-11;31.775;14.796
-1.489E-11;31.796;14.887
-1.498E-11;31.923;14.980
-1.509E-11;32.056;15.091
-1.525E-11;32.110;15.247
-1.543E-11;32.175;15.425
-1.559E-11;32.285;15.589
-1.575E-11;32.338;15.748
-1.590E-11;32.436;15.899
-1.605E-11;32.620;16.048
-1.622E-11;32.700;16.217
-1.640E-11;32.803;16.397
-1.657E-11;32.894;16.567
-1.673E-11;32.935;16.729
-1.687E-11;33.022;16.872
-1.700E-11;33.118;16.998
-1.712E-11;33.156;17.117
-1.722E-11;33.284;17.221
-1.732E-11;33.453;17.318
-1.741E-11;33.524;17.415
-1.751E-11;33.647;17.511
-1.760E-11;33.806;17.597
-1.768E-11;33.869;17.678
-1.774E-11;33.976;17.744
-1.780E-11;34.083;17.795
-1.783E-11;34.125;17.827
-1.785E-11;34.250;17.855
-1.786E-11;34.398;17.865
-1.786E-11;34.460;17.859
-1.784E-11;34.609;17.841
-1.781E-11;34.728;17.809
-1.776E-11;34.762;17.763
-1.771E-11;34.884;17.714
-1.766E-11;35.003;17.661
-1.759E-11;35.048;17.587
-1.751E-11;35.114;17.508
-1.743E-11;35.233;17.425
-1.734E-11;35.273;17.340
-1.725E-11;35.280;17.252
-1.717E-11;35.310;17.173
-1.710E-11;35.318;17.102
-1.707E-11;35.315;17.066
-1.704E-11;35.320;17.038
-1.703E-11;35.319;17.027
-1.702E-11;35.328;17.021
-1.702E-11;35.460;17.024
-1.698E-11;35.526;16.983
-1.692E-11;35.554;16.923
-1.685E-11;35.565;16.845
-1.679E-11;35.569;16.785
-1.674E-11;35.571;16.741
-1.672E-11;35.569;16.722
-1.671E-11;35.571;16.714
-1.672E-11;35.576;16.717
-1.672E-11;35.598;16.723
-1.673E-11;35.610;16.726
-1.672E-11;35.632;16.718
-1.671E-11;35.641;16.710
-1.670E-11;35.646;16.704
-1.669E-11;35.654;16.689
-1.668E-11;35.666;16.683
-1.668E-11;35.812;16.680
-1.664E-11;35.966;16.637
-1.652E-11;36.013;16.523
-1.638E-11;36.034;16.384
-1.625E-11;36.046;16.248
-1.614E-11;36.126;16.143
-1.605E-11;36.328;16.049
-1.590E-11;36.456;15.904
-1.571E-11;36.508;15.707
-1.549E-11;36.523;15.490
-1.530E-11;36.536;15.299
-1.516E-11;36.571;15.157
-1.505E-11;36.668;15.049
-1.495E-11;36.718;14.947
-1.484E-11;36.738;14.839
-1.472E-11;36.741;14.725
-1.464E-11;36.790;14.638
-1.456E-11;36.846;14.562
-1.448E-11;36.868;14.483
-1.440E-11;36.878;14.405
-1.434E-11;36.882;14.337
-1.429E-11;36.900;14.288
-1.426E-11;36.932;14.256
-1.422E-11;36.939;14.223
-1.419E-11;36.957;14.193
-1.417E-11;36.972;14.167
-1.413E-11;36.991;14.133
-1.410E-11;36.997;14.100
-1.408E-11;37.000;14.079
-1.406E-11;37.025;14.064
-1.405E-11;37.072;14.051
-1.402E-11;37.133;14.017
-1.396E-11;37.190;13.955
-1.387E-11;37.207;13.874
-1.379E-11;37.220;13.790
-1.372E-11;37.224;13.717
-1.367E-11;37.240;13.665
-1.363E-11;37.283;13.627
-1.359E-11;37.335;13.594
-1.354E-11;37.366;13.538
-1.347E-11;37.373;13.466
-1.340E-11;37.374;13.404
-1.335E-11;37.379;13.354
-1.332E-11;37.421;13.319
-1.329E-11;37.452;13.288
-1.325E-11;37.465;13.246
-1.320E-11;37.479;13.199
-1.316E-11;37.470;13.157
-1.313E-11;37.489;13.133
-1.312E-11;37.535;13.118
-1.309E-11;37.558;13.088
-1.304E-11;37.613;13.042
-1.299E-11;37.652;12.988
-1.292E-11;37.663;12.916
-1.285E-11;37.672;12.845
-1.280E-11;37.672;12.797
-1.276E-11;37.696;12.764
-1.274E-11;37.756;12.738
-1.269E-11;37.869;12.690
-1.261E-11;37.927;12.610
-1.250E-11;37.949;12.496
-1.238E-11;37.957;12.376
-1.229E-11;37.959;12.287
-1.222E-11;37.959;12.224
-1.219E-11;37.961;12.190
-1.218E-11;37.973;12.175
-1.217E-11;38.025;12.172
-1.215E-11;38.058;12.146
-1.211E-11;38.065;12.111
-1.206E-11;38.074;12.063
-1.203E-11;38.075;12.035
-1.201E-11;38.076;12.014
-1.200E-11;38.076;12.004
-1.201E-11;38.074;12.005
-1.202E-11;38.091;12.017
-1.202E-11;38.119;12.025
-1.201E-11;38.230;12.014
-1.197E-11;38.312;11.974
-1.189E-11;38.337;11.890
-1.180E-11;38.345;11.798
-1.172E-11;38.351;11.719
-1.166E-11;38.352;11.660
-1.163E-11;38.354;11.627
-1.162E-11;38.377;11.619
-1.161E-11;38.423;11.606
-1.159E-11;38.472;11.589
-1.155E-11;38.530;11.550
-1.150E-11;38.553;11.503
-1.145E-11;38.563;11.448
-1.140E-11;38.572;11.401
-1.137E-11;38.574;11.368
-1.135E-11;38.637;11.353
-1.134E-11;38.702;11.336
-1.131E-11;38.724;11.305
-1.127E-11;38.742;11.266
-1.124E-11;38.740;11.236
-1.121E-11;38.740;11.214
-1.120E-11;38.749;11.202
-1.120E-11;38.774;11.198
-1.120E-11;38.802;11.201
-1.120E-11;38.836;11.199
-1.119E-11;38.933;11.192
-1.118E-11;38.986;11.175
-1.115E-11;39.001;11.154
-1.113E-11;39.015;11.132
-1.112E-11;39.016;11.120
-1.111E-11;39.017;11.114
-1.112E-11;39.018;11.122
-1.114E-11;39.046;11.136
-1.115E-11;39.088;11.147
-1.116E-11;39.103;11.165
-1.117E-11;39.109;11.172
-1.118E-11;39.111;11.184
-1.120E-11;39.113;11.197
-1.121E-11;39.113;11.215
-1.123E-11;39.110;11.234
-1.125E-11;39.116;11.251
-1.127E-11;39.148;11.269
-1.129E-11;39.211;11.287
-1.131E-11;39.256;11.308
-1.133E-11;39.272;11.330
-1.135E-11;39.277;11.354
-1.138E-11;39.282;11.380
-1.141E-11;39.280;11.411
-1.143E-11;39.283;11.427
-1.145E-11;39.316;11.449
-1.147E-11;39.372;11.475
-1.151E-11;39.420;11.507
-1.154E-11;39.441;11.544
-1.159E-11;39.449;11.585
-1.163E-11;39.447;11.630
-1.166E-11;39.451;11.664
-1.169E-11;39.462;11.694
-1.173E-11;39.501;11.727
-1.176E-11;39.533;11.760
-1.180E-11;39.552;11.798
-1.184E-11;39.571;11.844
-1.189E-11;39.583;11.892
-1.193E-11;39.583;11.932
-1.198E-11;39.585;11.976
-1.201E-11;39.597;12.008
-1.204E-11;39.657;12.042
-1.209E-11;39.717;12.088
-1.216E-11;39.738;12.163
-1.224E-11;39.749;12.244
-1.232E-11;39.759;12.320
-1.239E-11;39.755;12.386
-1.243E-11;39.799;12.434
-1.249E-11;39.867;12.493
-1.257E-11;39.885;12.572
-1.266E-11;39.897;12.661
-1.276E-11;39.911;12.758
-1.284E-11;39.908;12.836
-1.290E-11;39.919;12.904
-1.296E-11;39.978;12.958
-1.303E-11;40.035;13.029
-1.313E-11;40.104;13.133
-1.329E-11;40.150;13.287
-1.346E-11;40.165;13.465
-1.363E-11;40.177;13.629
-1.377E-11;40.237;13.767
-1.391E-11;40.372;13.905
-1.413E-11;40.498;14.127
-1.443E-11;40.545;14.433
-1.477E-11;40.565;14.769
-1.508E-11;40.605;15.084
-1.538E-11;40.768;15.378
-1.572E-11;40.862;15.718
-1.612E-11;40.904;16.119
-1.654E-11;41.004;16.542
-1.698E-11;41.117;16.979
-1.748E-11;41.201;17.476
-1.798E-11;41.232;17.978
-1.844E-11;41.268;18.437
-1.884E-11;41.401;18.840
-1.929E-11;41.484;19.287
-1.975E-11;41.520;19.752
-2.019E-11;41.542;20.194
-2.058E-11;41.626;20.581
-2.096E-11;41.726;20.962
-2.139E-11;41.791;21.391
-2.183E-11;41.817;21.825
-2.223E-11;41.855;22.226
-2.257E-11;41.971;22.574
-2.296E-11;42.040;22.956
-2.338E-11;42.062;23.382
-2.378E-11;42.075;23.783
-2.410E-11;42.125;24.100
-2.437E-11;42.177;24.372
-2.463E-11;42.199;24.634
-2.489E-11;42.208;24.893
-2.511E-11;42.217;25.107
-2.527E-11;42.291;25.271
-2.545E-11;42.372;25.451
-2.570E-11;42.402;25.699
-2.597E-11;42.415;25.973
-2.623E-11;42.425;26.231
-2.642E-11;42.442;26.420
-2.658E-11;42.528;26.578
-2.677E-11;42.582;26.767
-2.701E-11;42.601;27.010
-2.726E-11;42.651;27.258
-2.750E-11;42.810;27.495
-2.783E-11;42.895;27.826
-2.824E-11;42.926;28.236
-2.864E-11;42.951;28.639
-2.901E-11;43.093;29.007
-2.936E-11;43.198;29.365
-2.975E-11;43.229;29.752
-3.013E-11;43.325;30.127
-3.049E-11;43.443;30.491
-3.088E-11;43.479;30.883
-3.124E-11;43.512;31.240
-3.152E-11;43.618;31.525
-3.180E-11;43.683;31.796
-3.205E-11;43.705;32.053
-3.227E-11;43.754;32.272
-3.247E-11;43.869;32.466
-3.268E-11;43.952;32.678
-3.291E-11;43.970;32.905
-3.311E-11;43.987;33.107
-3.326E-11;44.080;33.264
-3.340E-11;44.174;33.405
-3.355E-11;44.193;33.549
-3.368E-11;44.235;33.678
-3.380E-11;44.379;33.803
-3.392E-11;44.451;33.925
-3.406E-11;44.479;34.056
-3.417E-11;44.513;34.167
-3.425E-11;44.643;34.254
-3.434E-11;44.703;34.337
-3.441E-11;44.711;34.408
-3.447E-11;44.746;34.467
-3.451E-11;44.829;34.505
-3.453E-11;44.950;34.532
-3.456E-11;44.985;34.557
-3.456E-11;45.010;34.561
-3.456E-11;45.100;34.562
-3.455E-11;45.208;34.551
-3.452E-11;45.264;34.521
-3.448E-11;45.296;34.480
-3.443E-11;45.328;34.431
-3.438E-11;45.391;34.382
-3.433E-11;45.446;34.326
-3.427E-11;45.466;34.266
-3.420E-11;45.476;34.201
-3.415E-11;45.520;34.150
-3.410E-11;45.619;34.096
-3.402E-11;45.659;34.025
-3.394E-11;45.671;33.938
-3.384E-11;45.681;33.845
-3.377E-11;45.772;33.770
-3.368E-11;45.875;33.684
-3.356E-11;45.908;33.557
-3.342E-11;45.912;33.416
-3.328E-11;45.996;33.285
-3.315E-11;46.115;33.147
-3.297E-11;46.166;32.965
-3.275E-11;46.183;32.750
-3.254E-11;46.191;32.545
-3.239E-11;46.220;32.393
-3.227E-11;46.270;32.272
-3.216E-11;46.295;32.159
-3.204E-11;46.305;32.043
-3.195E-11;46.306;31.945
-3.187E-11;46.303;31.868
-3.182E-11;46.307;31.821
-3.178E-11;46.308;31.783
-3.177E-11;46.308;31.771
-3.177E-11;46.312;31.767
-3.177E-11;46.322;31.767
-3.176E-11;46.358;31.763
-3.174E-11;46.403;31.735
-3.168E-11;46.418;31.675
-3.159E-11;46.423;31.593
-3.152E-11;46.429;31.523
-3.148E-11;46.425;31.478
-3.144E-11;46.444;31.440
-3.141E-11;46.507;31.414
-3.135E-11;46.607;31.350
-3.121E-11;46.664;31.206
-3.099E-11;46.684;30.992
-3.076E-11;46.685;30.762
-3.057E-11;46.696;30.569
-3.044E-11;46.718;30.439
-3.035E-11;46.742;30.351
-3.027E-11;46.752;30.272
-3.019E-11;46.776;30.192
-3.010E-11;46.867;30.103
-2.997E-11;46.914;29.969
-2.978E-11;46.922;29.781
-2.959E-11;46.930;29.593
-2.944E-11;46.933;29.440
-2.933E-11;46.935;29.333
-2.927E-11;46.958;29.266
-2.921E-11;47.037;29.207
-2.910E-11;47.091;29.101
-2.892E-11;47.112;28.916
-2.871E-11;47.121;28.713
-2.854E-11;47.124;28.535
-2.841E-11;47.125;28.409
-2.833E-11;47.131;28.332
-2.829E-11;47.183;28.289
-2.821E-11;47.273;28.214
-2.805E-11;47.330;28.053
-2.782E-11;47.348;27.819
-2.757E-11;47.357;27.573
-2.737E-11;47.359;27.369
-2.722E-11;47.364;27.223
-2.712E-11;47.439;27.123
-2.700E-11;47.495;26.997
-2.680E-11;47.516;26.797
-2.658E-11;47.538;26.580
-2.638E-11;47.537;26.384
-2.623E-11;47.530;26.234
-2.613E-11;47.545;26.132
-2.607E-11;47.549;26.074
-2.604E-11;47.577;26.039
-2.599E-11;47.600;25.991
-2.591E-11;47.631;25.907
-2.580E-11;47.646;25.804
-2.569E-11;47.651;25.691
-2.559E-11;47.664;25.594
-2.551E-11;47.701;25.510
-2.541E-11;47.720;25.413
-2.530E-11;47.727;25.301
-2.520E-11;47.730;25.203
-2.512E-11;47.724;25.118
-2.507E-11;47.730;25.068
-2.503E-11;47.734;25.032
-2.502E-11;47.740;25.020
-2.501E-11;47.770;25.012
-2.497E-11;47.787;24.974
-2.490E-11;47.804;24.899
-2.481E-11;47.802;24.813
-2.474E-11;47.805;24.738
-2.468E-11;47.809;24.682
-2.465E-11;47.813;24.651
-2.463E-11;47.856;24.633
-2.458E-11;47.909;24.575
-2.446E-11;47.970;24.458
-2.427E-11;47.998;24.268
-2.405E-11;48.009;24.048
-2.384E-11;48.016;23.836
-2.368E-11;48.018;23.679
-2.357E-11;48.021;23.570
-2.350E-11;48.072;23.500
-2.341E-11;48.147;23.406
-2.322E-11;48.190;23.225
-2.299E-11;48.206;22.987
-2.275E-11;48.213;22.745
-2.255E-11;48.216;22.551
-2.241E-11;48.226;22.415
-2.232E-11;48.291;22.319
-2.219E-11;48.384;22.192
-2.197E-11;48.421;21.973
-2.169E-11;48.434;21.692
-2.142E-11;48.441;21.416
-2.119E-11;48.445;21.193
-2.103E-11;48.490;21.030
-2.089E-11;48.549;20.888
-2.071E-11;48.575;20.715
-2.052E-11;48.582;20.522
-2.035E-11;48.588;20.353
-2.022E-11;48.589;20.215
-2.012E-11;48.608;20.119
-2.005E-11;48.656;20.047
-1.995E-11;48.692;19.945
-1.980E-11;48.712;19.803
-1.965E-11;48.717;19.647
-1.951E-11;48.720;19.506
-1.940E-11;48.723;19.397
-1.933E-11;48.729;19.326
-1.928E-11;48.777;19.277
-1.920E-11;48.820;19.198
