Current (A);Voltage (V);Electron current (pA) Run #23
4.325E-14;0.067;-0.043
4.630E-14;0.068;-0.046
5.155E-14;0.068;-0.052
5.135E-14;0.068;-0.051
5.225E-14;0.065;-0.052
5.159E-14;0.071;-0.052
5.148E-14;0.067;-0.051
5.076E-14;0.210;-0.051
4.510E-14;0.614;-0.045
4.254E-14;0.819;-0.043
4.579E-14;0.886;-0.046
4.625E-14;1.037;-0.046
4.534E-14;1.416;-0.045
4.937E-14;1.614;-0.049
4.867E-14;1.680;-0.049
4.587E-14;1.780;-0.046
4.685E-14;1.955;-0.047
4.778E-14;2.041;-0.048
4.664E-14;2.077;-0.047
4.640E-14;2.226;-0.046
4.553E-14;2.432;-0.046
4.603E-14;2.521;-0.046
4.590E-14;2.566;-0.046
4.618E-14;2.745;-0.046
4.495E-14;2.976;-0.045
4.633E-14;3.073;-0.046
4.576E-14;3.124;-0.046
4.474E-14;3.310;-0.045
4.426E-14;3.543;-0.044
4.614E-14;3.641;-0.046
4.426E-14;3.704;-0.044
4.219E-14;3.904;-0.042
4.470E-14;4.083;-0.045
3.975E-14;4.160;-0.040
4.458E-14;4.242;-0.045
4.342E-14;4.497;-0.043
4.644E-14;4.653;-0.046
4.348E-14;4.714;-0.043
4.347E-14;4.796;-0.043
4.001E-14;4.944;-0.040
4.071E-14;5.007;-0.041
4.147E-14;5.035;-0.041
4.598E-14;5.061;-0.046
4.126E-14;5.160;-0.041
4.421E-14;5.210;-0.044
4.567E-14;5.228;-0.046
4.276E-14;5.271;-0.043
4.904E-14;5.361;-0.049
4.308E-14;5.412;-0.043
4.259E-14;5.430;-0.043
4.193E-14;5.500;-0.042
3.989E-14;5.596;-0.040
3.712E-14;5.634;-0.037
3.727E-14;5.653;-0.037
3.369E-14;5.739;-0.034
3.597E-14;5.887;-0.036
3.643E-14;5.961;-0.036
3.267E-14;5.982;-0.033
3.420E-14;5.998;-0.034
3.538E-14;6.003;-0.035
3.584E-14;6.002;-0.036
3.003E-14;6.001;-0.030
3.950E-14;5.996;-0.040
4.073E-14;6.004;-0.041
4.025E-14;6.012;-0.040
3.684E-14;6.006;-0.037
4.119E-14;6.111;-0.041
4.341E-14;6.248;-0.043
3.768E-14;6.299;-0.038
3.746E-14;6.319;-0.037
3.889E-14;6.369;-0.039
4.116E-14;6.424;-0.041
4.279E-14;6.449;-0.043
4.325E-14;6.460;-0.043
4.120E-14;6.462;-0.041
4.475E-14;6.464;-0.045
4.341E-14;6.462;-0.043
4.285E-14;6.469;-0.043
4.248E-14;6.513;-0.042
4.030E-14;6.548;-0.040
4.375E-14;6.569;-0.044
4.329E-14;6.577;-0.043
4.064E-14;6.584;-0.041
3.774E-14;6.663;-0.038
3.912E-14;6.719;-0.039
4.325E-14;6.743;-0.043
4.060E-14;6.767;-0.041
4.620E-14;6.853;-0.046
4.607E-14;6.889;-0.046
4.854E-14;6.911;-0.049
4.080E-14;7.050;-0.041
4.119E-14;7.174;-0.041
3.911E-14;7.223;-0.039
4.404E-14;7.314;-0.044
4.373E-14;7.467;-0.044
4.800E-14;7.532;-0.048
4.565E-14;7.590;-0.046
4.569E-14;7.881;-0.046
3.811E-14;8.099;-0.038
4.025E-14;8.190;-0.040
3.837E-14;8.344;-0.038
3.767E-14;8.502;-0.038
3.762E-14;8.565;-0.038
4.318E-14;8.661;-0.043
4.056E-14;8.832;-0.041
4.185E-14;8.903;-0.042
4.043E-14;8.960;-0.040
4.082E-14;9.152;-0.041
3.754E-14;9.269;-0.038
4.076E-14;9.346;-0.041
4.028E-14;9.595;-0.040
3.887E-14;9.822;-0.039
4.039E-14;9.917;-0.040
3.682E-14;10.150;-0.037
3.667E-14;10.506;-0.037
3.967E-14;10.652;-0.040
4.420E-14;10.797;-0.044
4.233E-14;11.084;-0.042
3.925E-14;11.222;-0.039
4.080E-14;11.289;-0.041
3.997E-14;11.450;-0.040
3.966E-14;11.569;-0.040
4.135E-14;11.616;-0.041
4.579E-14;11.791;-0.046
4.591E-14;11.962;-0.046
3.998E-14;12.048;-0.040
3.702E-14;12.273;-0.037
2.972E-14;12.457;-0.030
1.954E-14;12.523;-0.020
1.387E-14;12.667;-0.014
7.678E-15;12.906;-0.008
-6.934E-15;13.005;0.007
-2.189E-14;13.182;0.022
-4.553E-14;13.470;0.046
-6.448E-14;13.591;0.064
-9.259E-14;13.763;0.093
-1.185E-13;14.067;0.119
-1.552E-13;14.194;0.155
-1.982E-13;14.356;0.198
-2.382E-13;14.580;0.238
-2.874E-13;14.677;0.287
-3.355E-13;14.789;0.336
-3.825E-13;14.996;0.383
-4.365E-13;15.097;0.436
-4.879E-13;15.272;0.488
-5.456E-13;15.558;0.546
-6.244E-13;15.689;0.624
-7.148E-13;15.901;0.715
-8.050E-13;16.067;0.805
-9.132E-13;16.151;0.913
-1.015E-12;16.295;1.015
-1.111E-12;16.399;1.111
-1.207E-12;16.453;1.207
-1.295E-12;16.662;1.295
-1.388E-12;16.837;1.388
-1.502E-12;16.913;1.502
-1.621E-12;17.100;1.621
-1.746E-12;17.251;1.746
-1.874E-12;17.311;1.874
-1.993E-12;17.461;1.993
-2.115E-12;17.645;2.115
-2.238E-12;17.720;2.238
-2.372E-12;17.864;2.372
-2.495E-12;18.023;2.495
-2.631E-12;18.087;2.631
-2.760E-12;18.195;2.760
-2.882E-12;18.325;2.882
-3.000E-12;18.375;3.000
-3.111E-12;18.418;3.111
-3.204E-12;18.541;3.204
-3.302E-12;18.601;3.302
-3.396E-12;18.645;3.396
-3.483E-12;18.780;3.483
-3.576E-12;18.852;3.576
-3.676E-12;18.886;3.676
-3.761E-12;18.990;3.761
-3.846E-12;19.056;3.846
-3.928E-12;19.115;3.928
-4.010E-12;19.358;4.010
-4.116E-12;19.531;4.116
-4.254E-12;19.617;4.254
-4.399E-12;19.825;4.399
-4.559E-12;19.957;4.559
-4.720E-12;20.055;4.720
-4.873E-12;20.305;4.873
-5.033E-12;20.448;5.033
-5.206E-12;20.509;5.206
-5.370E-12;20.722;5.370
-5.537E-12;20.917;5.537
-5.704E-12;21.010;5.704
-5.858E-12;21.124;5.858
-5.998E-12;21.212;5.998
-6.128E-12;21.250;6.128
-6.225E-12;21.388;6.225
-6.312E-12;21.517;6.312
-6.404E-12;21.567;6.404
-6.492E-12;21.586;6.492
-6.563E-12;21.616;6.563
-6.615E-12;21.685;6.615
-6.662E-12;21.717;6.662
-6.706E-12;21.770;6.706
-6.746E-12;21.916;6.746
-6.792E-12;22.005;6.792
-6.851E-12;22.035;6.851
-6.903E-12;22.055;6.903
-6.948E-12;22.207;6.948
-6.995E-12;22.392;6.995
-7.051E-12;22.466;7.051
-7.116E-12;22.502;7.116
-7.174E-12;22.624;7.174
-7.230E-12;22.710;7.230
-7.282E-12;22.742;7.282
-7.326E-12;22.754;7.326
-7.352E-12;22.758;7.352
-7.373E-12;22.783;7.373
-7.393E-12;22.825;7.393
-7.406E-12;22.839;7.406
