"Current (A) Run #26","Voltage (V) Run #26","Electron current (pA) Run #26"
3.475E-14,0.014,-0.035
3.069E-14,0.011,-0.031
2.672E-14,0.013,-0.027
2.711E-14,0.011,-0.027
2.968E-14,0.011,-0.030
2.626E-14,0.011,-0.026
2.817E-14,0.013,-0.028
3.080E-14,0.010,-0.031
2.961E-14,0.012,-0.030
2.942E-14,0.011,-0.029
3.029E-14,0.011,-0.030
3.282E-14,0.011,-0.033
2.909E-14,0.009,-0.029
2.950E-14,0.011,-0.030
2.933E-14,0.012,-0.029
3.066E-14,0.012,-0.031
2.990E-14,0.011,-0.030
2.512E-14,0.011,-0.025
2.582E-14,0.010,-0.026
2.621E-14,0.010,-0.026
2.880E-14,0.012,-0.029
2.792E-14,0.011,-0.028
2.836E-14,0.014,-0.028
2.522E-14,0.012,-0.025
2.257E-14,0.021,-0.023
2.623E-14,0.012,-0.026
2.709E-14,0.012,-0.027
2.003E-14,0.010,-0.020
2.286E-14,0.012,-0.023
2.079E-14,0.010,-0.021
1.997E-14,0.011,-0.020
1.748E-14,0.011,-0.017
1.440E-14,0.014,-0.014
1.896E-14,0.011,-0.019
1.943E-14,0.012,-0.019
2.251E-14,0.011,-0.023
2.827E-14,0.006,-0.028
2.627E-14,0.012,-0.026
3.292E-14,0.011,-0.033
3.168E-14,0.013,-0.032
2.633E-14,0.008,-0.026
2.478E-14,0.012,-0.025
2.511E-14,0.011,-0.025
2.815E-14,0.010,-0.028
2.830E-14,0.014,-0.028
2.825E-14,0.011,-0.028
3.146E-14,0.011,-0.031
2.920E-14,0.011,-0.029
2.985E-14,0.011,-0.030
2.538E-14,0.014,-0.025
2.429E-14,0.010,-0.024
2.521E-14,-0.002,-0.025
2.489E-14,0.011,-0.025
2.432E-14,0.011,-0.024
2.168E-14,0.012,-0.022
2.310E-14,0.011,-0.023
2.709E-14,0.011,-0.027
2.384E-14,0.010,-0.024
2.572E-14,0.014,-0.026
2.930E-14,0.006,-0.029
2.441E-14,0.013,-0.024
2.894E-14,0.011,-0.029
3.043E-14,0.010,-0.030
2.832E-14,0.010,-0.028
2.676E-14,0.010,-0.027
2.913E-14,0.011,-0.029
2.672E-14,0.012,-0.027
2.971E-14,0.013,-0.030
2.721E-14,0.011,-0.027
2.615E-14,0.010,-0.026
3.190E-14,0.011,-0.032
3.217E-14,0.011,-0.032
2.930E-14,0.011,-0.029
2.711E-14,0.003,-0.027
2.264E-14,0.011,-0.023
2.307E-14,0.012,-0.023
2.705E-14,0.008,-0.027
2.633E-14,0.008,-0.026
2.645E-14,0.011,-0.026
2.332E-14,0.011,-0.023
2.422E-14,0.013,-0.024
2.206E-14,0.014,-0.022
2.174E-14,0.023,-0.022
2.339E-14,0.055,-0.023
2.360E-14,0.161,-0.024
2.045E-14,0.273,-0.020
2.196E-14,0.322,-0.022
2.179E-14,0.326,-0.022
1.965E-14,0.337,-0.020
2.463E-14,0.344,-0.025
2.010E-14,0.340,-0.020
2.126E-14,0.339,-0.021
2.297E-14,0.337,-0.023
1.581E-14,0.348,-0.016
2.250E-14,0.383,-0.022
2.306E-14,0.451,-0.023
2.126E-14,0.507,-0.021
2.277E-14,0.560,-0.023
1.886E-14,0.607,-0.019
1.866E-14,0.631,-0.019
1.976E-14,0.677,-0.020
1.997E-14,0.704,-0.020
2.518E-14,0.758,-0.025
2.500E-14,0.798,-0.025
2.356E-14,0.859,-0.024
2.212E-14,0.933,-0.022
2.415E-14,1.010,-0.024
2.224E-14,1.071,-0.022
2.261E-14,1.134,-0.023
2.192E-14,1.184,-0.022
1.737E-14,1.254,-0.017
2.297E-14,1.317,-0.023
2.738E-14,1.359,-0.027
2.587E-14,1.374,-0.026
2.330E-14,1.379,-0.023
2.771E-14,1.380,-0.028
2.778E-14,1.383,-0.028
2.416E-14,1.388,-0.024
2.604E-14,1.442,-0.026
2.157E-14,1.508,-0.022
1.910E-14,1.553,-0.019
2.118E-14,1.594,-0.021
2.043E-14,1.636,-0.020
2.424E-14,1.686,-0.024
2.245E-14,1.753,-0.022
1.837E-14,1.804,-0.018
2.037E-14,1.824,-0.020
1.973E-14,1.836,-0.020
1.959E-14,1.851,-0.020
2.371E-14,1.860,-0.024
2.189E-14,1.868,-0.022
2.218E-14,1.872,-0.022
2.250E-14,1.875,-0.022
1.948E-14,1.876,-0.019
1.764E-14,1.891,-0.018
2.009E-14,1.907,-0.020
1.825E-14,1.927,-0.018
1.710E-14,1.927,-0.017
1.840E-14,1.931,-0.018
1.534E-14,1.935,-0.015
1.798E-14,1.954,-0.018
1.901E-14,1.966,-0.019
1.573E-14,1.992,-0.016
1.732E-14,2.005,-0.017
1.949E-14,2.029,-0.019
1.815E-14,2.067,-0.018
1.740E-14,2.131,-0.017
1.696E-14,2.158,-0.017
1.621E-14,2.221,-0.016
2.053E-14,2.260,-0.021
2.227E-14,2.295,-0.022
2.081E-14,2.336,-0.021
2.067E-14,2.364,-0.021
2.640E-14,2.404,-0.026
2.052E-14,2.486,-0.021
2.051E-14,2.560,-0.021
2.114E-14,2.625,-0.021
2.379E-14,2.687,-0.024
2.346E-14,2.742,-0.023
2.456E-14,2.772,-0.025
2.206E-14,2.827,-0.022
2.203E-14,2.961,-0.022
2.081E-14,3.083,-0.021
1.682E-14,3.171,-0.017
1.732E-14,3.218,-0.017
1.582E-14,3.235,-0.016
2.014E-14,3.239,-0.020
2.017E-14,3.223,-0.020
1.929E-14,3.236,-0.019
2.434E-14,3.293,-0.024
2.357E-14,3.385,-0.024
2.312E-14,3.444,-0.023
2.393E-14,3.474,-0.024
2.406E-14,3.487,-0.024
2.312E-14,3.485,-0.023
2.565E-14,3.492,-0.026
2.760E-14,3.501,-0.028
2.589E-14,3.530,-0.026
2.196E-14,3.583,-0.022
2.267E-14,3.637,-0.023
2.484E-14,3.697,-0.025
2.448E-14,3.780,-0.024
2.944E-14,3.854,-0.029
2.877E-14,3.937,-0.029
3.005E-14,4.002,-0.030
3.057E-14,4.053,-0.031
3.130E-14,4.086,-0.031
3.392E-14,4.113,-0.034
3.240E-14,4.179,-0.032
3.069E-14,4.235,-0.031
2.926E-14,4.281,-0.029
2.560E-14,4.311,-0.026
2.825E-14,4.332,-0.028
2.585E-14,4.356,-0.026
2.815E-14,4.380,-0.028
2.974E-14,4.409,-0.030
1.897E-14,4.437,-0.019
2.346E-14,4.452,-0.023
2.847E-14,4.469,-0.028
2.877E-14,4.492,-0.029
2.634E-14,4.506,-0.026
2.708E-14,4.537,-0.027
2.668E-14,4.567,-0.027
2.471E-14,4.600,-0.025
2.391E-14,4.626,-0.024
2.488E-14,4.655,-0.025
2.438E-14,4.690,-0.024
2.789E-14,4.709,-0.028
2.128E-14,4.731,-0.021
2.792E-14,4.755,-0.028
2.407E-14,4.779,-0.024
2.629E-14,4.808,-0.026
2.607E-14,4.850,-0.026
2.339E-14,4.871,-0.023
2.404E-14,4.904,-0.024
2.684E-14,4.943,-0.027
2.760E-14,4.977,-0.028
2.693E-14,4.990,-0.027
2.328E-14,4.995,-0.023
2.806E-14,5.002,-0.028
2.772E-14,5.012,-0.028
2.799E-14,5.033,-0.028
2.911E-14,5.091,-0.029
3.123E-14,5.192,-0.031
2.437E-14,5.294,-0.024
2.310E-14,5.393,-0.023
2.487E-14,5.486,-0.025
2.377E-14,5.570,-0.024
2.601E-14,5.658,-0.026
2.227E-14,5.739,-0.022
2.255E-14,5.808,-0.023
2.874E-14,5.852,-0.029
2.777E-14,5.881,-0.028
3.248E-14,5.935,-0.032
3.383E-14,5.993,-0.034
3.143E-14,6.041,-0.031
3.370E-14,6.084,-0.034
3.301E-14,6.123,-0.033
2.954E-14,6.171,-0.030
2.749E-14,6.261,-0.027
2.483E-14,6.316,-0.025
