Current (A),Voltage (V),Electron current (pA)
-3.086E-12,17.062,3.086
-3.097E-12,17.054,3.097
-3.102E-12,17.063,3.102
-3.103E-12,17.065,3.103
-3.107E-12,17.056,3.107
-3.107E-12,17.052,3.107
-3.101E-12,17.047,3.101
-3.094E-12,17.050,3.094
-3.088E-12,17.048,3.088
-3.086E-12,17.046,3.086
-3.086E-12,17.048,3.086
-3.082E-12,17.050,3.082
-3.078E-12,17.049,3.078
-3.077E-12,17.041,3.077
-3.077E-12,17.047,3.077
-3.072E-12,17.049,3.072
-3.068E-12,17.047,3.068
-3.067E-12,17.048,3.067
-3.066E-12,17.053,3.066
-3.062E-12,17.058,3.062
-3.063E-12,17.063,3.063
-3.063E-12,17.066,3.063
-3.060E-12,17.075,3.060
-3.064E-12,17.078,3.064
-3.069E-12,17.086,3.069
-3.074E-12,17.114,3.074
-3.088E-12,17.142,3.088
-3.102E-12,17.156,3.102
-3.121E-12,17.182,3.121
-3.142E-12,17.204,3.142
-3.167E-12,17.224,3.167
-3.191E-12,17.246,3.191
-3.216E-12,17.274,3.216
-3.237E-12,17.296,3.237
-3.261E-12,17.320,3.261
-3.284E-12,17.349,3.284
-3.313E-12,17.361,3.313
-3.339E-12,17.374,3.339
-3.363E-12,17.393,3.363
-3.384E-12,17.415,3.384
-3.408E-12,17.433,3.408
-3.426E-12,17.442,3.426
-3.446E-12,17.451,3.446
-3.465E-12,17.456,3.465
-3.477E-12,17.462,3.477
-3.492E-12,17.482,3.492
-3.506E-12,17.509,3.506
-3.523E-12,17.530,3.523
-3.541E-12,17.546,3.541
-3.565E-12,17.552,3.565
-3.580E-12,17.560,3.580
-3.603E-12,17.565,3.603
-3.608E-12,17.579,3.608
-3.620E-12,17.600,3.620
-3.635E-12,17.614,3.635
-3.650E-12,17.624,3.650
-3.662E-12,17.630,3.662
-3.679E-12,17.645,3.679
-3.697E-12,17.655,3.697
-3.705E-12,17.658,3.705
-3.717E-12,17.669,3.717
-3.728E-12,17.668,3.728
-3.730E-12,17.669,3.730
-3.731E-12,17.673,3.731
-3.743E-12,17.681,3.743
-3.744E-12,17.699,3.744
-3.754E-12,17.705,3.754
-3.761E-12,17.715,3.761
-3.770E-12,17.723,3.770
-3.780E-12,17.729,3.780
-3.780E-12,17.731,3.780
-3.784E-12,17.741,3.784
-3.789E-12,17.746,3.789
-3.794E-12,17.755,3.794
-3.801E-12,17.770,3.801
-3.807E-12,17.785,3.807
-3.812E-12,17.790,3.812
-3.823E-12,17.796,3.823
-3.834E-12,17.806,3.834
-3.843E-12,17.816,3.843
-3.855E-12,17.823,3.855
-3.858E-12,17.831,3.858
-3.873E-12,17.850,3.873
-3.886E-12,17.865,3.886
-3.894E-12,17.879,3.894
-3.909E-12,17.885,3.909
-3.920E-12,17.896,3.920
-3.933E-12,17.906,3.933
-3.937E-12,17.931,3.937
-3.953E-12,17.954,3.953
-3.966E-12,17.964,3.966
-3.983E-12,17.980,3.983
-4.005E-12,17.997,4.005
-4.022E-12,18.009,4.022
-4.034E-12,18.014,4.034
-4.048E-12,18.020,4.048
-4.056E-12,18.036,4.056
-4.063E-12,18.056,4.063
-4.080E-12,18.059,4.080
-4.089E-12,18.077,4.089
-4.109E-12,18.091,4.109
-4.115E-12,18.096,4.115
-4.130E-12,18.129,4.130
-4.142E-12,18.152,4.142
-4.163E-12,18.173,4.163
-4.185E-12,18.186,4.185
-4.202E-12,18.202,4.202
-4.222E-12,18.210,4.222
-4.235E-12,18.222,4.235
-4.251E-12,18.236,4.251
-4.265E-12,18.250,4.265
-4.280E-12,18.262,4.280
-4.293E-12,18.274,4.293
-4.302E-12,18.295,4.302
-4.319E-12,18.322,4.319
-4.341E-12,18.333,4.341
-4.358E-12,18.335,4.358
-4.369E-12,18.337,4.369
-4.378E-12,18.337,4.378
-4.382E-12,18.336,4.382
-4.387E-12,18.338,4.387
-4.388E-12,18.340,4.388
-4.387E-12,18.337,4.387
-4.380E-12,18.338,4.380
-4.384E-12,18.342,4.384
-4.377E-12,18.340,4.377
-4.378E-12,18.344,4.378
-4.377E-12,18.344,4.377
-4.374E-12,18.339,4.374
-4.375E-12,18.348,4.375
-4.374E-12,18.380,4.374
-4.377E-12,18.394,4.377
-4.386E-12,18.404,4.386
-4.398E-12,18.417,4.398
-4.411E-12,18.432,4.411
-4.427E-12,18.448,4.427
-4.438E-12,18.467,4.438
-4.454E-12,18.483,4.454
-4.475E-12,18.498,4.475
-4.483E-12,18.516,4.483
-4.502E-12,18.546,4.502
-4.516E-12,18.561,4.516
-4.536E-12,18.583,4.536
-4.556E-12,18.604,4.556
-4.584E-12,18.624,4.584
-4.599E-12,18.642,4.599
-4.624E-12,18.665,4.624
-4.643E-12,18.677,4.643
-4.667E-12,18.687,4.667
-4.682E-12,18.695,4.682
-4.698E-12,18.709,4.698
-4.708E-12,18.721,4.708
-4.718E-12,18.742,4.718
-4.729E-12,18.754,4.729
-4.745E-12,18.761,4.745
-4.758E-12,18.773,4.758
-4.769E-12,18.785,4.769
-4.780E-12,18.794,4.780
-4.789E-12,18.796,4.789
-4.801E-12,18.800,4.801
-4.801E-12,18.808,4.801
-4.803E-12,18.825,4.803
-4.812E-12,18.832,4.812
-4.818E-12,18.847,4.818
-4.827E-12,18.857,4.827
-4.838E-12,18.875,4.838
-4.848E-12,18.885,4.848
-4.860E-12,18.895,4.860
-4.871E-12,18.904,4.871
-4.881E-12,18.923,4.881
-4.892E-12,18.930,4.892
-4.902E-12,18.940,4.902
-4.913E-12,18.945,4.913
-4.922E-12,18.946,4.922
-4.927E-12,18.958,4.927
-4.935E-12,18.971,4.935
-4.943E-12,18.982,4.943
-4.952E-12,18.987,4.952
-4.952E-12,18.996,4.952
-4.959E-12,19.009,4.959
-4.969E-12,19.027,4.969
-4.975E-12,19.035,4.975
-4.980E-12,19.043,4.980
-4.995E-12,19.043,4.995
-5.004E-12,19.064,5.004
-5.010E-12,19.079,5.010
-5.018E-12,19.099,5.018
-5.031E-12,19.113,5.031
-5.042E-12,19.118,5.042
-5.056E-12,19.123,5.056
-5.068E-12,19.122,5.068
-5.070E-12,19.127,5.070
-5.074E-12,19.134,5.074
-5.076E-12,19.144,5.076
-5.083E-12,19.154,5.083
-5.081E-12,19.152,5.081
-5.091E-12,19.162,5.091
-5.095E-12,19.169,5.095
-5.101E-12,19.180,5.101
-5.110E-12,19.188,5.110
-5.110E-12,19.197,5.110
-5.107E-12,19.204,5.107
-5.121E-12,19.208,5.121
-5.121E-12,19.212,5.121
-5.122E-12,19.217,5.122
-5.125E-12,19.223,5.125
-5.124E-12,19.228,5.124
-5.126E-12,19.244,5.126
-5.135E-12,19.260,5.135
-5.144E-12,19.272,5.144
-5.155E-12,19.285,5.155
-5.164E-12,19.292,5.164
-5.170E-12,19.309,5.170
-5.183E-12,19.316,5.183
-5.195E-12,19.329,5.195
-5.208E-12,19.332,5.208
-5.211E-12,19.330,5.211
-5.215E-12,19.332,5.215
-5.217E-12,19.331,5.217
-5.214E-12,19.334,5.214
-5.220E-12,19.337,5.220
-5.215E-12,19.347,5.215
-5.216E-12,19.353,5.216
-5.214E-12,19.350,5.214
-5.219E-12,19.355,5.219
-5.218E-12,19.363,5.218
-5.221E-12,19.377,5.221
-5.219E-12,19.383,5.219
-5.227E-12,19.386,5.227
-5.230E-12,19.387,5.230
-5.227E-12,19.389,5.227
-5.232E-12,19.391,5.232
-5.229E-12,19.388,5.229
-5.228E-12,19.391,5.228
-5.224E-12,19.401,5.224
-5.225E-12,19.419,5.225
-5.229E-12,19.428,5.229
-5.231E-12,19.447,5.231
-5.243E-12,19.459,5.243
-5.252E-12,19.470,5.252
-5.266E-12,19.476,5.266
-5.276E-12,19.486,5.276
-5.289E-12,19.493,5.289
-5.297E-12,19.496,5.297
-5.296E-12,19.520,5.296
-5.305E-12,19.520,5.305
-5.310E-12,19.523,5.310
-5.315E-12,19.534,5.315
-5.324E-12,19.539,5.324
-5.329E-12,19.542,5.329
-5.335E-12,19.554,5.335
-5.335E-12,19.558,5.335
-5.344E-12,19.561,5.344
-5.345E-12,19.568,5.345
-5.340E-12,19.578,5.340
-5.346E-12,19.587,5.346
-5.348E-12,19.596,5.348
-5.352E-12,19.601,5.352
-5.360E-12,19.603,5.360
-5.361E-12,19.609,5.361
-5.365E-12,19.616,5.365
-5.371E-12,19.619,5.371
-5.373E-12,19.629,5.373
-5.375E-12,19.645,5.375
-5.379E-12,19.640,5.379
-5.382E-12,19.639,5.382
-5.386E-12,19.654,5.386
-5.393E-12,19.661,5.393
-5.393E-12,19.673,5.393
-5.400E-12,19.685,5.400
-5.405E-12,19.692,5.405
-5.408E-12,19.693,5.408
-5.415E-12,19.704,5.415
-5.422E-12,19.710,5.422
-5.426E-12,19.717,5.426
-5.433E-12,19.730,5.433
-5.433E-12,19.739,5.433
-5.441E-12,19.747,5.441
-5.447E-12,19.760,5.447
-5.455E-12,19.767,5.455
-5.459E-12,19.776,5.459
-5.468E-12,19.789,5.468
-5.473E-12,19.795,5.473
-5.481E-12,19.805,5.481
-5.486E-12,19.808,5.486
-5.493E-12,19.825,5.493
-5.501E-12,19.840,5.501
-5.512E-12,19.848,5.512
-5.524E-12,19.852,5.524
-5.528E-12,19.855,5.528
-5.537E-12,19.864,5.537
-5.545E-12,19.879,5.545
-5.545E-12,19.894,5.545
-5.548E-12,19.909,5.548
-5.567E-12,19.910,5.567
-5.567E-12,19.905,5.567
-5.580E-12,19.910,5.580
-5.573E-12,19.912,5.573
-5.578E-12,19.915,5.578
-5.577E-12,19.924,5.577
-5.586E-12,19.924,5.586
-5.582E-12,19.926,5.582
-5.579E-12,19.927,5.579
-5.587E-12,19.934,5.587
-5.588E-12,19.948,5.588
-5.589E-12,19.966,5.589
-5.591E-12,19.979,5.591
-5.605E-12,19.984,5.605
-5.614E-12,19.994,5.614
-5.626E-12,20.009,5.626
-5.632E-12,20.018,5.632
-5.638E-12,20.023,5.638
-5.650E-12,20.037,5.650
-5.652E-12,20.042,5.652
-5.656E-12,20.046,5.656
-5.661E-12,20.049,5.661
-5.661E-12,20.051,5.661
-5.669E-12,20.050,5.669
-5.663E-12,20.049,5.663
-5.663E-12,20.049,5.663
-5.666E-12,20.048,5.666
-5.661E-12,20.048,5.661
-5.654E-12,20.050,5.654
-5.644E-12,20.065,5.644
-5.646E-12,20.105,5.646
-5.649E-12,20.122,5.649
-5.668E-12,20.144,5.668
-5.683E-12,20.181,5.683
-5.705E-12,20.206,5.705
-5.729E-12,20.216,5.729
-5.747E-12,20.235,5.747
-5.764E-12,20.259,5.764
-5.783E-12,20.277,5.783
-5.796E-12,20.295,5.796
-5.815E-12,20.307,5.815
-5.829E-12,20.320,5.829
-5.844E-12,20.320,5.844
-5.850E-12,20.339,5.850
-5.859E-12,20.354,5.859
-5.870E-12,20.357,5.870
-5.876E-12,20.367,5.876
-5.888E-12,20.374,5.888
-5.894E-12,20.375,5.894
-5.894E-12,20.391,5.894
-5.905E-12,20.398,5.905
-5.910E-12,20.417,5.910
-5.917E-12,20.421,5.917
-5.916E-12,20.426,5.916
-5.921E-12,20.435,5.921
-5.927E-12,20.452,5.927
-5.936E-12,20.461,5.936
-5.939E-12,20.471,5.939
-5.941E-12,20.492,5.941
-5.953E-12,20.509,5.953
-5.958E-12,20.525,5.958
-5.974E-12,20.533,5.974
-5.985E-12,20.537,5.985
-5.991E-12,20.557,5.991
-6.004E-12,20.569,6.004
-6.009E-12,20.585,6.009
-6.023E-12,20.591,6.023
-6.027E-12,20.598,6.027
-6.034E-12,20.614,6.034
-6.040E-12,20.625,6.040
-6.046E-12,20.631,6.046
-6.052E-12,20.641,6.052
-6.063E-12,20.650,6.063
-6.068E-12,20.661,6.068
-6.071E-12,20.668,6.071
-6.075E-12,20.675,6.075
-6.082E-12,20.690,6.082
-6.085E-12,20.704,6.085
-6.091E-12,20.727,6.091
-6.105E-12,20.750,6.105
-6.117E-12,20.768,6.117
-6.128E-12,20.775,6.128
-6.142E-12,20.782,6.142
-6.150E-12,20.788,6.150
-6.156E-12,20.792,6.156
-6.165E-12,20.809,6.165
-6.170E-12,20.817,6.170
-6.178E-12,20.819,6.178
-6.182E-12,20.833,6.182
-6.186E-12,20.843,6.186
-6.192E-12,20.844,6.192
-6.195E-12,20.852,6.195
-6.198E-12,20.866,6.198
-6.198E-12,20.878,6.198
-6.207E-12,20.882,6.207
-6.208E-12,20.890,6.208
-6.212E-12,20.899,6.212
-6.221E-12,20.904,6.221
-6.218E-12,20.912,6.218
-6.221E-12,20.919,6.221
-6.220E-12,20.924,6.220
-6.225E-12,20.935,6.225
-6.226E-12,20.939,6.226
-6.232E-12,20.946,6.232
-6.233E-12,20.953,6.233
-6.238E-12,20.962,6.238
-6.235E-12,20.972,6.235
-6.244E-12,20.984,6.244
-6.248E-12,20.996,6.248
-6.249E-12,20.995,6.249
-6.252E-12,21.013,6.252
-6.258E-12,21.011,6.258
-6.260E-12,21.025,6.260
-6.263E-12,21.035,6.263
-6.269E-12,21.043,6.269
-6.271E-12,21.053,6.271
-6.276E-12,21.063,6.276
-6.283E-12,21.069,6.283
-6.285E-12,21.071,6.285
-6.289E-12,21.074,6.289
-6.288E-12,21.078,6.288
-6.291E-12,21.085,6.291
-6.291E-12,21.101,6.291
-6.288E-12,21.114,6.288
-6.298E-12,21.114,6.298
-6.303E-12,21.128,6.303
-6.306E-12,21.131,6.306
-6.311E-12,21.146,6.311
-6.319E-12,21.173,6.319
-6.322E-12,21.193,6.322
-6.334E-12,21.198,6.334
-6.340E-12,21.197,6.340
-6.349E-12,21.211,6.349
-6.354E-12,21.225,6.354
-6.362E-12,21.224,6.362
-6.364E-12,21.240,6.364
-6.372E-12,21.243,6.372
-6.372E-12,21.250,6.372
-6.374E-12,21.265,6.374
-6.377E-12,21.267,6.377
-6.377E-12,21.287,6.377
-6.388E-12,21.297,6.388
-6.389E-12,21.310,6.389
-6.393E-12,21.314,6.393
-6.399E-12,21.331,6.399
-6.404E-12,21.339,6.404
-6.411E-12,21.355,6.411
-6.416E-12,21.368,6.416
-6.421E-12,21.371,6.421
-6.426E-12,21.371,6.426
-6.429E-12,21.384,6.429
-6.431E-12,21.391,6.431
-6.437E-12,21.401,6.437
-6.441E-12,21.409,6.441
-6.442E-12,21.418,6.442
-6.443E-12,21.423,6.443
-6.452E-12,21.422,6.452
-6.457E-12,21.434,6.457
-6.453E-12,21.444,6.453
-6.454E-12,21.454,6.454
-6.459E-12,21.465,6.459
-6.462E-12,21.481,6.462
-6.465E-12,21.485,6.465
-6.476E-12,21.489,6.476
-6.478E-12,21.489,6.478
-6.479E-12,21.497,6.479
-6.478E-12,21.502,6.478
-6.479E-12,21.509,6.479
-6.479E-12,21.519,6.479
-6.479E-12,21.536,6.479
-6.483E-12,21.550,6.483
-6.490E-12,21.544,6.490
-6.492E-12,21.553,6.492
-6.490E-12,21.560,6.490
-6.492E-12,21.562,6.492
-6.496E-12,21.567,6.496
-6.497E-12,21.576,6.497
-6.495E-12,21.590,6.495
-6.498E-12,21.593,6.498
-6.507E-12,21.605,6.507
-6.505E-12,21.617,6.505
-6.514E-12,21.626,6.514
-6.514E-12,21.628,6.514
-6.517E-12,21.644,6.517
-6.522E-12,21.655,6.522
-6.523E-12,21.660,6.523
-6.526E-12,21.665,6.526
-6.528E-12,21.675,6.528
-6.535E-12,21.689,6.535
-6.535E-12,21.697,6.535
-6.537E-12,21.702,6.537
-6.544E-12,21.717,6.544
-6.549E-12,21.729,6.549
-6.551E-12,21.740,6.551
-6.553E-12,21.758,6.553
-6.562E-12,21.769,6.562
-6.566E-12,21.785,6.566
-6.572E-12,21.799,6.572
-6.580E-12,21.815,6.580
-6.592E-12,21.834,6.592
-6.592E-12,21.832,6.592
-6.603E-12,21.839,6.603
-6.603E-12,21.834,6.603
-6.608E-12,21.835,6.608
-6.609E-12,21.834,6.609
-6.607E-12,21.832,6.607
-6.601E-12,21.832,6.601
-6.600E-12,21.831,6.600
-6.595E-12,21.834,6.595
-6.590E-12,21.831,6.590
-6.589E-12,21.833,6.589
-6.587E-12,21.833,6.587
-6.580E-12,21.832,6.580
-6.580E-12,21.832,6.580
-6.581E-12,21.833,6.581
-6.575E-12,21.832,6.575
-6.568E-12,21.834,6.568
-6.572E-12,21.836,6.572
-6.566E-12,21.832,6.566
-6.563E-12,21.833,6.563
-6.560E-12,21.832,6.560
-6.551E-12,21.837,6.551
-6.555E-12,21.834,6.555
-6.546E-12,21.833,6.546
-6.545E-12,21.833,6.545
-6.540E-12,21.832,6.540
-6.544E-12,21.833,6.544
-6.541E-12,21.837,6.541
-6.536E-12,21.822,6.536
-6.535E-12,21.828,6.535
-6.525E-12,21.834,6.525
-6.519E-12,21.854,6.519
-6.516E-12,21.885,6.516
-6.519E-12,21.902,6.519
-6.528E-12,21.908,6.528
-6.541E-12,21.910,6.541
-6.543E-12,21.912,6.543
-6.545E-12,21.909,6.545
-6.547E-12,21.918,6.547
-6.551E-12,21.923,6.551
-6.549E-12,21.929,6.549
-6.551E-12,21.938,6.551
-6.554E-12,21.945,6.554
-6.555E-12,21.953,6.555
-6.556E-12,21.960,6.556
-6.561E-12,21.968,6.561
-6.555E-12,21.983,6.555
-6.562E-12,21.993,6.562
-6.567E-12,22.005,6.567
-6.571E-12,22.018,6.571
-6.574E-12,22.032,6.574
-6.579E-12,22.041,6.579
-6.588E-12,22.053,6.588
-6.596E-12,22.060,6.596
-6.599E-12,22.067,6.599
-6.599E-12,22.075,6.599
-6.599E-12,22.085,6.599
-6.606E-12,22.094,6.606
-6.608E-12,22.113,6.608
-6.608E-12,22.131,6.608
-6.614E-12,22.154,6.614
-6.622E-12,22.164,6.622
-6.628E-12,22.177,6.628
-6.635E-12,22.197,6.635
-6.642E-12,22.212,6.642
-6.649E-12,22.219,6.649
-6.651E-12,22.241,6.651
-6.664E-12,22.267,6.664
-6.673E-12,22.285,6.673
-6.682E-12,22.293,6.682
-6.685E-12,22.292,6.685
-6.692E-12,22.307,6.692
-6.697E-12,22.323,6.697
-6.703E-12,22.351,6.703
-6.713E-12,22.363,6.713
-6.721E-12,22.380,6.721
-6.725E-12,22.386,6.725
-6.731E-12,22.400,6.731
-6.732E-12,22.417,6.732
-6.741E-12,22.443,6.741
-6.750E-12,22.472,6.750
-6.755E-12,22.495,6.755
-6.764E-12,22.504,6.764
-6.773E-12,22.520,6.773
-6.777E-12,22.532,6.777
-6.785E-12,22.540,6.785
-6.793E-12,22.550,6.793
-6.796E-12,22.559,6.796
-6.799E-12,22.583,6.799
-6.808E-12,22.609,6.808
-6.813E-12,22.626,6.813
-6.817E-12,22.641,6.817
-6.823E-12,22.650,6.823
-6.833E-12,22.661,6.833
-6.836E-12,22.672,6.836
-6.841E-12,22.674,6.841
-6.841E-12,22.687,6.841
-6.843E-12,22.704,6.843
-6.846E-12,22.720,6.846
-6.849E-12,22.735,6.849
-6.855E-12,22.747,6.855
-6.856E-12,22.763,6.856
-6.863E-12,22.772,6.863
-6.867E-12,22.779,6.867
-6.869E-12,22.788,6.869
-6.872E-12,22.798,6.872
-6.878E-12,22.811,6.878
-6.878E-12,22.825,6.878
-6.881E-12,22.835,6.881
-6.884E-12,22.847,6.884
-6.881E-12,22.855,6.881
-6.888E-12,22.875,6.888
-6.886E-12,22.886,6.886
-6.890E-12,22.906,6.890
-6.893E-12,22.914,6.893
-6.895E-12,22.934,6.895
-6.900E-12,22.954,6.900
-6.901E-12,22.976,6.901
-6.904E-12,22.986,6.904
-6.915E-12,22.995,6.915
-6.919E-12,23.003,6.919
-6.920E-12,23.012,6.920
-6.926E-12,23.023,6.926
-6.930E-12,23.034,6.930
-6.927E-12,23.046,6.927
-6.931E-12,23.047,6.931
-6.929E-12,23.051,6.929
-6.928E-12,23.052,6.928
-6.934E-12,23.059,6.934
-6.932E-12,23.065,6.932
-6.932E-12,23.070,6.932
-6.935E-12,23.072,6.935
-6.929E-12,23.077,6.929
-6.931E-12,23.085,6.931
-6.931E-12,23.093,6.931
-6.937E-12,23.105,6.937
-6.937E-12,23.111,6.937
-6.941E-12,23.134,6.941
-6.939E-12,23.140,6.939
-6.946E-12,23.153,6.946
-6.948E-12,23.158,6.948
-6.952E-12,23.167,6.952
-6.952E-12,23.180,6.952
-6.954E-12,23.192,6.954
-6.955E-12,23.200,6.955
-6.956E-12,23.209,6.956
-6.958E-12,23.216,6.958
-6.956E-12,23.219,6.956
-6.956E-12,23.224,6.956
-6.959E-12,23.245,6.959
-6.961E-12,23.269,6.961
-6.964E-12,23.284,6.964
-6.967E-12,23.297,6.967
-6.969E-12,23.305,6.969
-6.970E-12,23.320,6.970
-6.975E-12,23.329,6.975
-6.973E-12,23.334,6.973
-6.976E-12,23.337,6.976
-6.979E-12,23.350,6.979
-6.982E-12,23.362,6.982
-6.979E-12,23.375,6.979
-6.983E-12,23.384,6.983
-6.982E-12,23.391,6.982
-6.986E-12,23.411,6.986
-6.987E-12,23.435,6.987
-6.988E-12,23.451,6.988
-6.994E-12,23.464,6.994
-6.991E-12,23.468,6.991
-6.995E-12,23.484,6.995
-7.000E-12,23.491,7.000
-7.002E-12,23.499,7.002
-7.003E-12,23.506,7.003
-7.001E-12,23.507,7.001
-7.001E-12,23.514,7.001
-7.003E-12,23.510,7.003
-7.005E-12,23.525,7.005
-7.000E-12,23.526,7.000
-7.000E-12,23.529,7.000
-7.003E-12,23.536,7.003
-7.001E-12,23.545,7.001
-7.003E-12,23.556,7.003
-7.002E-12,23.561,7.002
-7.003E-12,23.575,7.003
-7.008E-12,23.579,7.008
-7.007E-12,23.593,7.007
-7.008E-12,23.611,7.008
-7.009E-12,23.619,7.009
-7.010E-12,23.635,7.010
-7.013E-12,23.651,7.013
-7.011E-12,23.659,7.011
-7.016E-12,23.676,7.016
-7.015E-12,23.689,7.015
-7.019E-12,23.698,7.019
-7.017E-12,23.722,7.017
-7.020E-12,23.739,7.020
-7.019E-12,23.752,7.019
-7.021E-12,23.778,7.021
-7.025E-12,23.798,7.025
-7.024E-12,23.823,7.024
-7.028E-12,23.837,7.028
-7.030E-12,23.869,7.030
-7.035E-12,23.894,7.035
-7.036E-12,23.914,7.036
-7.040E-12,23.933,7.040
-7.046E-12,23.962,7.046
-7.046E-12,23.989,7.046
-7.047E-12,24.009,7.047
-7.050E-12,24.050,7.050
-7.052E-12,24.082,7.052
-7.053E-12,24.098,7.053
-7.049E-12,24.123,7.049
-7.049E-12,24.158,7.049
-7.054E-12,24.180,7.054
-7.054E-12,24.192,7.054
-7.056E-12,24.213,7.056
-7.054E-12,24.235,7.054
-7.054E-12,24.252,7.054
-7.059E-12,24.272,7.059
-7.063E-12,24.300,7.063
-7.064E-12,24.319,7.064
-7.060E-12,24.347,7.060
-7.062E-12,24.372,7.062
-7.062E-12,24.391,7.062
-7.060E-12,24.420,7.060
-7.055E-12,24.451,7.055
-7.061E-12,24.466,7.061
-7.059E-12,24.486,7.059
-7.058E-12,24.506,7.058
-7.056E-12,24.516,7.056
-7.054E-12,24.532,7.054
-7.051E-12,24.545,7.051
-7.050E-12,24.553,7.050
-7.048E-12,24.542,7.048
-7.050E-12,24.538,7.050
-7.053E-12,24.537,7.053
-7.050E-12,24.534,7.050
-7.055E-12,24.537,7.055
-7.050E-12,24.540,7.050
-7.054E-12,24.535,7.054
-7.050E-12,24.535,7.050
-7.051E-12,24.533,7.051
-7.049E-12,24.535,7.049
-7.051E-12,24.537,7.051
-7.057E-12,24.538,7.057
-7.056E-12,24.573,7.056
-7.053E-12,24.602,7.053
-7.053E-12,24.647,7.053
-7.057E-12,24.695,7.057
-7.052E-12,24.692,7.052
-7.049E-12,24.731,7.049
-7.047E-12,24.798,7.047
-7.036E-12,24.851,7.036
-7.035E-12,24.868,7.035
-7.032E-12,24.885,7.032
-7.029E-12,24.898,7.029
-7.023E-12,24.916,7.023
-7.019E-12,24.941,7.019
-7.016E-12,24.971,7.016
-7.010E-12,24.997,7.010
-7.003E-12,25.024,7.003
-7.003E-12,25.046,7.003
-7.000E-12,25.069,7.000
-6.998E-12,25.099,6.998
-6.990E-12,25.129,6.990
-6.989E-12,25.152,6.989
-6.983E-12,25.175,6.983
-6.980E-12,25.196,6.980
-6.974E-12,25.216,6.974
-6.967E-12,25.237,6.967
-6.971E-12,25.257,6.971
-6.967E-12,25.285,6.967
-6.965E-12,25.303,6.965
-6.965E-12,25.327,6.965
-6.959E-12,25.346,6.959
-6.955E-12,25.384,6.955
-6.948E-12,25.400,6.948
-6.945E-12,25.415,6.945
-6.942E-12,25.428,6.942
-6.940E-12,25.445,6.940
-6.937E-12,25.467,6.937
-6.931E-12,25.486,6.931
-6.929E-12,25.505,6.929
-6.925E-12,25.508,6.925
-6.923E-12,25.536,6.923
-6.923E-12,25.541,6.923
-6.922E-12,25.559,6.922
-6.919E-12,25.576,6.919
-6.920E-12,25.599,6.920
-6.911E-12,25.624,6.911
-6.908E-12,25.651,6.908
-6.906E-12,25.669,6.906
-6.902E-12,25.684,6.902
-6.901E-12,25.702,6.901
-6.896E-12,25.726,6.896
-6.895E-12,25.748,6.895
-6.886E-12,25.767,6.886
-6.884E-12,25.777,6.884
-6.882E-12,25.787,6.882
-6.878E-12,25.801,6.878
-6.875E-12,25.815,6.875
-6.871E-12,25.838,6.871
-6.868E-12,25.853,6.868
-6.865E-12,25.870,6.865
-6.863E-12,25.887,6.863
-6.858E-12,25.899,6.858
-6.852E-12,25.916,6.852
-6.849E-12,25.933,6.849
-6.849E-12,25.953,6.849
-6.848E-12,25.969,6.848
-6.845E-12,25.989,6.845
-6.845E-12,26.005,6.845
-6.839E-12,26.012,6.839
-6.836E-12,26.039,6.836
-6.830E-12,26.049,6.830
-6.828E-12,26.059,6.828
-6.826E-12,26.071,6.826
-6.825E-12,26.079,6.825
-6.822E-12,26.097,6.822
-6.823E-12,26.121,6.823
-6.825E-12,26.140,6.825
-6.823E-12,26.160,6.823
-6.815E-12,26.167,6.815
-6.812E-12,26.204,6.812
-6.810E-12,26.235,6.810
-6.803E-12,26.240,6.803
-6.799E-12,26.255,6.799
-6.794E-12,26.272,6.794
-6.792E-12,26.286,6.792
-6.791E-12,26.302,6.791
-6.790E-12,26.313,6.790
-6.789E-12,26.323,6.789
-6.786E-12,26.332,6.786
-6.785E-12,26.340,6.785
-6.782E-12,26.349,6.782
-6.783E-12,26.362,6.783
-6.784E-12,26.373,6.784
-6.782E-12,26.382,6.782
-6.780E-12,26.385,6.780
-6.777E-12,26.401,6.777
-6.778E-12,26.401,6.778
-6.781E-12,26.410,6.781
-6.788E-12,26.418,6.788
-6.791E-12,26.422,6.791
-6.791E-12,26.429,6.791
-6.792E-12,26.423,6.792
-6.794E-12,26.424,6.794
-6.797E-12,26.425,6.797
-6.800E-12,26.425,6.800
-6.807E-12,26.420,6.807
-6.804E-12,26.432,6.804
-6.812E-12,26.442,6.812
-6.814E-12,26.452,6.814
-6.814E-12,26.459,6.814
-6.813E-12,26.472,6.813
-6.813E-12,26.497,6.813
-6.811E-12,26.511,6.811
-6.809E-12,26.525,6.809
-6.807E-12,26.540,6.807
-6.805E-12,26.564,6.805
-6.804E-12,26.580,6.804
-6.800E-12,26.603,6.800
-6.802E-12,26.618,6.802
-6.801E-12,26.647,6.801
-6.799E-12,26.675,6.799
-6.793E-12,26.702,6.793
-6.796E-12,26.726,6.796
-6.788E-12,26.754,6.788
-6.787E-12,26.778,6.787
-6.779E-12,26.798,6.779
-6.777E-12,26.819,6.777
-6.776E-12,26.843,6.776
-6.774E-12,26.862,6.774
-6.772E-12,26.876,6.772
-6.770E-12,26.894,6.770
-6.770E-12,26.912,6.770
-6.772E-12,26.943,6.772
-6.769E-12,26.970,6.769
-6.767E-12,26.982,6.767
-6.771E-12,26.991,6.771
