"Current (A) Run #29","Voltage (V) Run #29","Electron current (pA) Run #29"
-2.015E-14,4.742,0.020
-1.854E-14,4.800,0.019
-2.058E-14,4.859,0.021
-1.942E-14,4.917,0.019
-1.906E-14,4.978,0.019
-2.339E-14,5.034,0.023
-2.186E-14,5.086,0.022
-1.906E-14,5.141,0.019
-2.251E-14,5.202,0.023
-2.008E-14,5.253,0.020
-1.919E-14,5.314,0.019
-2.249E-14,5.381,0.022
-2.349E-14,5.425,0.023
-2.628E-14,5.497,0.026
-2.684E-14,5.583,0.027
-2.607E-14,5.621,0.026
-2.502E-14,5.636,0.025
-2.661E-14,5.640,0.027
-2.255E-14,5.642,0.023
-2.800E-14,5.690,0.028
-2.279E-14,5.775,0.023
-1.948E-14,5.880,0.019
-1.913E-14,5.959,0.019
-2.108E-14,6.041,0.021
-2.164E-14,6.133,0.022
-1.937E-14,6.192,0.019
-1.675E-14,6.251,0.017
-1.792E-14,6.305,0.018
-1.703E-14,6.348,0.017
-1.184E-14,6.363,0.012
-1.814E-14,6.411,0.018
-1.729E-14,6.470,0.017
-1.880E-14,6.529,0.019
-1.584E-14,6.578,0.016
-2.047E-14,6.620,0.020
-1.724E-14,6.669,0.017
-1.959E-14,6.720,0.020
-1.965E-14,6.758,0.020
-2.139E-14,6.792,0.021
-2.163E-14,6.823,0.022
-2.292E-14,6.854,0.023
-2.555E-14,6.892,0.026
-2.351E-14,6.936,0.024
-2.759E-14,6.988,0.028
-2.834E-14,7.028,0.028
-2.727E-14,7.085,0.027
-2.297E-14,7.130,0.023
-1.875E-14,7.194,0.019
-1.754E-14,7.223,0.018
-1.887E-14,7.252,0.019
-2.289E-14,7.274,0.023
-2.163E-14,7.312,0.022
-2.400E-14,7.342,0.024
-2.184E-14,7.355,0.022
-1.638E-14,7.365,0.016
-1.593E-14,7.368,0.016
-1.643E-14,7.373,0.016
-1.499E-14,7.377,0.015
-1.532E-14,7.421,0.015
-1.963E-14,7.499,0.020
-2.600E-14,7.538,0.026
-2.363E-14,7.569,0.024
-2.241E-14,7.590,0.022
-2.273E-14,7.616,0.023
-2.075E-14,7.624,0.021
-2.537E-14,7.628,0.025
-2.283E-14,7.640,0.023
-1.823E-14,7.688,0.018
-2.015E-14,7.738,0.020
-2.385E-14,7.793,0.024
-2.341E-14,7.844,0.023
-2.662E-14,7.865,0.027
-2.319E-14,7.875,0.023
-2.249E-14,7.876,0.022
-2.701E-14,7.872,0.027
-2.362E-14,7.872,0.024
-2.701E-14,7.888,0.027
-2.837E-14,7.959,0.028
-2.523E-14,8.041,0.025
-2.410E-14,8.100,0.024
-2.484E-14,8.159,0.025
-2.284E-14,8.199,0.023
-2.415E-14,8.249,0.024
-2.865E-14,8.276,0.029
-2.843E-14,8.301,0.028
-2.803E-14,8.326,0.028
-2.953E-14,8.356,0.030
-2.905E-14,8.390,0.029
-2.490E-14,8.435,0.025
-2.856E-14,8.489,0.029
-2.719E-14,8.582,0.027
-2.504E-14,8.643,0.025
-2.629E-14,8.699,0.026
-2.612E-14,8.764,0.026
-2.853E-14,8.805,0.029
-2.664E-14,8.836,0.027
-2.837E-14,8.877,0.028
-2.832E-14,8.936,0.028
-2.189E-14,8.967,0.022
-2.426E-14,8.984,0.024
-2.300E-14,9.045,0.023
-2.321E-14,9.078,0.023
-2.333E-14,9.112,0.023
-2.682E-14,9.182,0.027
-2.672E-14,9.243,0.027
-2.931E-14,9.295,0.029
-3.018E-14,9.366,0.030
-2.865E-14,9.436,0.029
-2.955E-14,9.490,0.030
-2.456E-14,9.545,0.025
-2.627E-14,9.609,0.026
-2.604E-14,9.651,0.026
-2.653E-14,9.687,0.027
-2.731E-14,9.722,0.027
-2.954E-14,9.737,0.030
-2.646E-14,9.758,0.026
-2.321E-14,9.835,0.023
-2.274E-14,9.928,0.023
-2.322E-14,9.978,0.023
-2.657E-14,10.008,0.027
-2.495E-14,10.020,0.025
-2.489E-14,10.021,0.025
-2.362E-14,10.024,0.024
-2.712E-14,10.057,0.027
-2.771E-14,10.121,0.028
-2.948E-14,10.227,0.029
-2.676E-14,10.294,0.027
-2.928E-14,10.420,0.029
-2.640E-14,10.499,0.026
-2.775E-14,10.546,0.028
-2.756E-14,10.583,0.028
-2.727E-14,10.631,0.027
-2.338E-14,10.691,0.023
-2.394E-14,10.758,0.024
-2.561E-14,10.810,0.026
-2.166E-14,10.867,0.022
-2.432E-14,10.947,0.024
-2.305E-14,11.006,0.023
-2.338E-14,11.056,0.023
-2.247E-14,11.112,0.022
-2.101E-14,11.167,0.021
-2.046E-14,11.210,0.020
-2.161E-14,11.259,0.022
-1.693E-14,11.294,0.017
-1.786E-14,11.330,0.018
-1.906E-14,11.354,0.019
-2.365E-14,11.387,0.024
-2.269E-14,11.424,0.023
-2.292E-14,11.455,0.023
-2.491E-14,11.495,0.025
-1.984E-14,11.548,0.020
-2.220E-14,11.560,0.022
-2.133E-14,11.617,0.021
-2.418E-14,11.666,0.024
-2.396E-14,11.705,0.024
-2.021E-14,11.755,0.020
-2.343E-14,11.796,0.023
-2.390E-14,11.833,0.024
-2.609E-14,11.869,0.026
-2.813E-14,11.916,0.028
-3.263E-14,11.979,0.033
-2.892E-14,12.036,0.029
-2.621E-14,12.085,0.026
-3.257E-14,12.141,0.033
-4.033E-14,12.191,0.040
-3.374E-14,12.247,0.034
-3.539E-14,12.313,0.035
-3.613E-14,12.399,0.036
-4.227E-14,12.461,0.042
-3.842E-14,12.486,0.038
-4.253E-14,12.505,0.043
-4.266E-14,12.529,0.043
-4.763E-14,12.567,0.048
-4.459E-14,12.599,0.045
-4.618E-14,12.624,0.046
-4.774E-14,12.650,0.048
-5.061E-14,12.680,0.051
-5.153E-14,12.714,0.052
-5.281E-14,12.752,0.053
-5.327E-14,12.784,0.053
-5.554E-14,12.827,0.056
-5.542E-14,12.859,0.055
-5.970E-14,12.900,0.060
-6.030E-14,12.953,0.060
-6.324E-14,12.983,0.063
-6.310E-14,12.995,0.063
-6.669E-14,12.993,0.067
-6.276E-14,12.998,0.063
-6.473E-14,13.005,0.065
-6.567E-14,13.012,0.066
-6.892E-14,13.066,0.069
-6.653E-14,13.117,0.067
-6.866E-14,13.169,0.069
-7.117E-14,13.220,0.071
-7.533E-14,13.268,0.075
-8.225E-14,13.294,0.082
-8.773E-14,13.350,0.088
-8.729E-14,13.397,0.087
-8.723E-14,13.427,0.087
-9.447E-14,13.470,0.094
-9.982E-14,13.499,0.100
-9.498E-14,13.521,0.095
-9.049E-14,13.564,0.090
-8.665E-14,13.611,0.087
-8.691E-14,13.649,0.087
-8.219E-14,13.680,0.082
-8.129E-14,13.718,0.081
-8.129E-14,13.750,0.081
-8.547E-14,13.778,0.085
-9.186E-14,13.807,0.092
-9.148E-14,13.839,0.091
