"Current (A) Run #30","Voltage (V) Run #30","Electron current (pA) Run #30"
-1.218E-14,0.062,0.012
-1.796E-14,0.050,0.018
-1.454E-14,0.055,0.015
-1.793E-14,0.065,0.018
-1.548E-14,0.052,0.015
-1.788E-14,0.054,0.018
-2.236E-14,0.052,0.022
-2.130E-14,0.053,0.021
-2.102E-14,0.051,0.021
-1.719E-14,0.053,0.017
-2.032E-14,0.051,0.020
-1.798E-14,0.053,0.018
-1.670E-14,0.053,0.017
-1.753E-14,0.050,0.018
-1.768E-14,0.052,0.018
-1.610E-14,0.052,0.016
-1.958E-14,0.052,0.020
-2.598E-14,0.051,0.026
-2.178E-14,0.051,0.022
-1.913E-14,0.050,0.019
-2.244E-14,0.051,0.022
-2.187E-14,0.050,0.022
-2.137E-14,0.052,0.021
-2.106E-14,0.055,0.021
-2.231E-14,0.050,0.022
-2.091E-14,0.052,0.021
-2.046E-14,0.053,0.020
-2.457E-14,0.049,0.025
-2.975E-14,0.046,0.030
-2.461E-14,0.044,0.025
-2.747E-14,0.051,0.027
-2.374E-14,0.051,0.024
-2.931E-14,0.056,0.029
-2.412E-14,0.053,0.024
-2.744E-14,0.048,0.027
-2.528E-14,0.048,0.025
-2.444E-14,0.051,0.024
-2.009E-14,0.048,0.020
-2.360E-14,0.048,0.024
-2.732E-14,0.050,0.027
-2.159E-14,0.047,0.022
-2.291E-14,0.047,0.023
-1.947E-14,0.049,0.019
-1.866E-14,0.067,0.019
-2.317E-14,0.105,0.023
-2.273E-14,0.158,0.023
-2.085E-14,0.189,0.021
-2.161E-14,0.203,0.022
-2.245E-14,0.225,0.022
-2.187E-14,0.250,0.022
-2.303E-14,0.274,0.023
-1.862E-14,0.309,0.019
-2.202E-14,0.329,0.022
-2.314E-14,0.359,0.023
-2.307E-14,0.397,0.023
-2.250E-14,0.431,0.022
-2.745E-14,0.468,0.027
-2.628E-14,0.514,0.026
-2.615E-14,0.569,0.026
-2.700E-14,0.607,0.027
-2.793E-14,0.622,0.028
-2.327E-14,0.641,0.023
-2.253E-14,0.646,0.023
-2.477E-14,0.689,0.025
-2.159E-14,0.727,0.022
-2.079E-14,0.762,0.021
-2.172E-14,0.781,0.022
-2.091E-14,0.795,0.021
-2.190E-14,0.808,0.022
-1.414E-14,0.834,0.014
-1.775E-14,0.843,0.018
-2.191E-14,0.871,0.022
-1.941E-14,0.876,0.019
-1.693E-14,0.900,0.017
-2.045E-14,0.910,0.020
-2.128E-14,0.907,0.021
-1.919E-14,0.908,0.019
-1.344E-14,0.908,0.013
-1.453E-14,0.913,0.015
-1.758E-14,0.933,0.018
-1.752E-14,0.953,0.018
-1.379E-14,0.962,0.014
-1.647E-14,0.970,0.016
-1.945E-14,0.991,0.019
-1.582E-14,1.004,0.016
-1.726E-14,1.013,0.017
-2.178E-14,1.029,0.022
-2.140E-14,1.047,0.021
-1.907E-14,1.068,0.019
-2.107E-14,1.095,0.021
-2.240E-14,1.139,0.022
-2.052E-14,1.168,0.021
-2.327E-14,1.188,0.023
-2.040E-14,1.188,0.020
-2.648E-14,1.204,0.026
-2.537E-14,1.211,0.025
-2.295E-14,1.213,0.023
-2.113E-14,1.219,0.021
-1.704E-14,1.242,0.017
-2.047E-14,1.284,0.020
-1.851E-14,1.353,0.019
-1.781E-14,1.481,0.018
-1.814E-14,1.612,0.018
-1.478E-14,1.700,0.015
-9.131E-15,1.754,0.009
-6.128E-15,1.785,0.006
-2.942E-15,1.808,0.003
-1.892E-15,1.841,0.002
-3.052E-16,1.883,3.052E-4
1.294E-15,1.914,-0.001
8.545E-17,1.929,-8.545E-5
6.714E-16,1.953,-6.714E-4
1.624E-15,1.970,-0.002
7.495E-15,1.991,-0.007
5.542E-15,2.007,-0.006
4.016E-15,2.025,-0.004
3.064E-15,2.045,-0.003
-1.917E-15,2.041,0.002
1.025E-15,2.052,-0.001
1.526E-15,2.089,-0.002
1.587E-16,2.110,-1.587E-4
2.271E-15,2.121,-0.002
-2.930E-16,2.128,2.930E-4
6.091E-15,2.146,-0.006
4.492E-15,2.173,-0.004
2.869E-15,2.177,-0.003
3.857E-15,2.174,-0.004
1.147E-15,2.205,-0.001
4.102E-15,2.233,-0.004
-7.202E-16,2.246,7.202E-4
9.180E-15,2.262,-0.009
7.422E-15,2.289,-0.007
8.240E-15,2.317,-0.008
1.315E-14,2.336,-0.013
1.195E-14,2.358,-0.012
9.766E-15,2.376,-0.010
8.325E-15,2.394,-0.008
1.068E-14,2.425,-0.011
9.082E-15,2.461,-0.009
6.628E-15,2.487,-0.007
7.678E-15,2.516,-0.008
8.679E-15,2.530,-0.009
7.751E-15,2.540,-0.008
9.204E-15,2.542,-0.009
1.132E-14,2.550,-0.011
6.750E-15,2.564,-0.007
4.993E-15,2.582,-0.005
7.239E-15,2.608,-0.007
6.409E-15,2.627,-0.006
9.485E-15,2.661,-0.009
8.472E-15,2.689,-0.008
3.369E-15,2.721,-0.003
2.734E-15,2.746,-0.003
1.624E-15,2.788,-0.002
4.199E-15,2.816,-0.004
5.249E-15,2.858,-0.005
3.638E-15,2.903,-0.004
4.675E-15,2.975,-0.005
7.947E-15,3.032,-0.008
5.273E-15,3.065,-0.005
6.067E-15,3.061,-0.006
3.479E-15,3.067,-0.003
8.374E-15,3.063,-0.008
6.970E-15,3.121,-0.007
1.053E-14,3.256,-0.011
4.663E-15,3.405,-0.005
5.457E-15,3.531,-0.005
9.204E-15,3.653,-0.009
6.641E-15,3.761,-0.007
9.167E-15,3.840,-0.009
7.617E-15,3.924,-0.008
5.225E-15,4.009,-0.005
5.811E-15,4.085,-0.006
