Current (A) Run #16;Voltage (V) Run #16;Electron current (pA) Run #16
-6.030E-15;7.484;0.006
-1.855E-15;7.485;0.002
-6.934E-15;7.484;0.007
-8.972E-15;7.481;0.009
-3.418E-15;7.482;0.003
-2.771E-15;7.483;0.003
-4.004E-15;7.484;0.004
-1.013E-15;7.480;0.001
-3.796E-15;7.483;0.004
-4.065E-15;7.485;0.004
-2.197E-15;7.481;0.002
-4.382E-15;7.482;0.004
-5.493E-16;7.485;5.493E-4
2.014E-15;7.490;-0.002
-6.836E-16;7.485;6.836E-4
1.624E-15;7.480;-0.002
-8.179E-16;7.485;8.179E-4
-1.062E-15;7.485;0.001
-3.796E-15;7.486;0.004
-7.629E-15;7.485;0.008
-9.399E-16;7.489;9.399E-4
-3.186E-15;7.482;0.003
-1.990E-15;7.493;0.002
1.208E-15;7.476;-0.001
2.710E-15;7.485;-0.003
-3.259E-15;7.484;0.003
6.226E-16;7.483;-6.226E-4
-1.123E-15;7.484;0.001
6.226E-16;7.486;-6.226E-4
-6.226E-16;7.485;6.226E-4
-5.005E-16;7.485;5.005E-4
1.978E-15;7.489;-0.002
-1.172E-15;7.600;0.001
-9.521E-16;7.746;9.521E-4
1.587E-16;7.843;-1.587E-4
2.197E-15;7.933;-0.002
-3.284E-15;8.003;0.003
-2.905E-15;8.072;0.003
-3.381E-15;8.138;0.003
-3.064E-15;8.219;0.003
1.001E-15;8.257;-0.001
-2.344E-15;8.283;0.002
-4.443E-15;8.282;0.004
-2.051E-15;8.286;0.002
2.649E-15;8.286;-0.003
1.624E-15;8.291;-0.002
-6.592E-16;8.285;6.592E-4
5.737E-16;8.286;-5.737E-4
6.104E-16;8.288;-6.104E-4
-1.013E-15;8.287;0.001
-3.406E-15;8.282;0.003
2.441E-16;8.284;-2.441E-4
-4.883E-17;8.286;4.883E-5
8.789E-16;8.285;-8.789E-4
5.237E-15;8.288;-0.005
2.869E-15;8.284;-0.003
-3.296E-16;8.286;3.296E-4
-3.052E-16;8.294;3.052E-4
-2.759E-15;8.353;0.003
-7.654E-15;8.439;0.008
-3.674E-15;8.519;0.004
-2.905E-15;8.587;0.003
-3.723E-15;8.647;0.004
-8.789E-16;8.703;8.789E-4
-2.197E-16;8.737;2.197E-4
1.001E-15;8.772;-0.001
1.514E-15;8.796;-0.002
2.271E-15;8.822;-0.002
1.367E-15;8.851;-0.001
5.859E-16;8.866;-5.859E-4
-5.615E-16;8.878;5.615E-4
1.953E-15;8.876;-0.002
2.319E-16;8.878;-2.319E-4
2.881E-15;8.903;-0.003
4.968E-15;8.998;-0.005
8.545E-17;9.073;-8.545E-5
1.355E-15;9.104;-0.001
2.100E-15;9.117;-0.002
6.836E-16;9.120;-6.836E-4
3.308E-15;9.123;-0.003
-7.324E-17;9.124;7.324E-5
3.418E-15;9.124;-0.003
-5.371E-16;9.131;5.371E-4
-5.493E-16;9.125;5.493E-4
-2.307E-15;9.128;0.002
-6.042E-15;9.128;0.006
-4.834E-15;9.120;0.005
-4.602E-15;9.126;0.005
6.714E-16;9.123;-6.714E-4
-9.644E-16;9.126;9.644E-4
-5.127E-16;9.123;5.127E-4
-3.479E-15;9.124;0.003
-1.013E-15;9.124;0.001
-2.087E-15;9.132;0.002
-9.399E-16;9.131;9.399E-4
4.114E-15;9.125;-0.004
-1.953E-16;9.123;1.953E-4
1.099E-15;9.128;-0.001
1.599E-15;9.124;-0.002
2.112E-15;9.122;-0.002
4.065E-15;9.126;-0.004
1.270E-15;9.125;-0.001
1.819E-15;9.124;-0.002
4.358E-15;9.125;-0.004
8.911E-16;9.124;-8.911E-4
3.235E-15;9.122;-0.003
3.174E-15;9.126;-0.003
5.664E-15;9.121;-0.006
2.014E-15;9.127;-0.002
5.078E-15;9.123;-0.005
3.906E-16;9.124;-3.906E-4
2.100E-15;9.128;-0.002
5.042E-15;9.123;-0.005
4.736E-15;9.125;-0.005
-2.209E-15;9.127;0.002
1.636E-15;9.103;-0.002
-4.883E-17;9.122;4.883E-5
4.407E-15;9.122;-0.004
4.187E-15;9.168;-0.004
2.271E-15;9.274;-0.002
-1.978E-15;9.369;0.002
-1.160E-15;9.411;0.001
-5.322E-15;9.445;0.005
-2.551E-15;9.494;0.003
5.505E-15;9.549;-0.006
-3.784E-16;9.598;3.784E-4
-6.104E-17;9.638;6.104E-5
