"Current (A) Run #32","Voltage (V) Run #32","Electron current (pA) Run #32"
-2.626E-13,18.880,0.263
-2.628E-13,18.910,0.263
-2.631E-13,18.942,0.263
-2.642E-13,18.994,0.264
-2.681E-13,19.021,0.268
-2.716E-13,19.044,0.272
-2.725E-13,19.113,0.272
-2.769E-13,19.145,0.277
-2.783E-13,19.177,0.278
-2.855E-13,19.273,0.285
-2.822E-13,19.326,0.282
-2.912E-13,19.356,0.291
-2.901E-13,19.441,0.290
-2.932E-13,19.496,0.293
-3.009E-13,19.521,0.301
-3.037E-13,19.587,0.304
-3.064E-13,19.633,0.306
-3.073E-13,19.652,0.307
-3.111E-13,19.709,0.311
-3.135E-13,19.787,0.314
-3.177E-13,19.818,0.318
-3.183E-13,19.871,0.318
-3.207E-13,19.976,0.321
-3.260E-13,20.031,0.326
-3.283E-13,20.065,0.328
-3.342E-13,20.141,0.334
-3.366E-13,20.185,0.337
-3.383E-13,20.247,0.338
-3.431E-13,20.366,0.343
-3.435E-13,20.435,0.343
-3.522E-13,20.445,0.352
-3.514E-13,20.497,0.351
-3.548E-13,20.577,0.355
-3.633E-13,20.600,0.363
-3.657E-13,20.623,0.366
-3.688E-13,20.679,0.369
-3.683E-13,20.712,0.368
-3.743E-13,20.726,0.374
-3.788E-13,20.752,0.379
-3.815E-13,20.778,0.381
-3.816E-13,20.774,0.382
-3.829E-13,20.858,0.383
-3.815E-13,20.910,0.381
-3.849E-13,20.922,0.385
-3.854E-13,20.942,0.385
-3.856E-13,20.975,0.386
-3.872E-13,20.991,0.387
-3.886E-13,20.997,0.389
-3.933E-13,21.001,0.393
-3.921E-13,20.998,0.392
-3.941E-13,20.997,0.394
-3.974E-13,21.009,0.397
-3.969E-13,21.003,0.397
-3.940E-13,21.002,0.394
-3.956E-13,21.004,0.396
-3.944E-13,20.998,0.394
-3.959E-13,21.057,0.396
-3.932E-13,21.108,0.393
-3.971E-13,21.133,0.397
-4.002E-13,21.170,0.400
-4.044E-13,21.266,0.404
-4.038E-13,21.359,0.404
-4.066E-13,21.394,0.407
-4.047E-13,21.407,0.405
-4.120E-13,21.417,0.412
-4.135E-13,21.417,0.414
-4.188E-13,21.415,0.419
-4.311E-13,21.416,0.431
-4.340E-13,21.415,0.434
-4.323E-13,21.419,0.432
-4.393E-13,21.417,0.439
-4.406E-13,21.417,0.441
-4.414E-13,21.418,0.441
-4.395E-13,21.416,0.439
-4.392E-13,21.416,0.439
-4.391E-13,21.416,0.439
-4.446E-13,21.422,0.445
-4.437E-13,21.462,0.444
-4.461E-13,21.505,0.446
-4.418E-13,21.522,0.442
-4.489E-13,21.550,0.449
-4.479E-13,21.588,0.448
-4.495E-13,21.599,0.450
-4.511E-13,21.617,0.451
-4.468E-13,21.647,0.447
-4.530E-13,21.658,0.453
-4.547E-13,21.668,0.455
-4.610E-13,21.698,0.461
-4.548E-13,21.715,0.455
-4.570E-13,21.720,0.457
-4.594E-13,21.726,0.459
-4.560E-13,21.796,0.456
-4.581E-13,21.860,0.458
-4.619E-13,21.884,0.462
-4.590E-13,21.918,0.459
-4.657E-13,21.989,0.466
-4.708E-13,22.024,0.471
-4.751E-13,22.037,0.475
-4.759E-13,22.084,0.476
-4.771E-13,22.108,0.477
-4.757E-13,22.120,0.476
-4.792E-13,22.152,0.479
-4.772E-13,22.183,0.477
-4.761E-13,22.193,0.476
-4.779E-13,22.198,0.478
-4.821E-13,22.236,0.482
-4.831E-13,22.297,0.483
-4.840E-13,22.319,0.484
-4.831E-13,22.342,0.483
-4.837E-13,22.408,0.484
-4.849E-13,22.432,0.485
-4.812E-13,22.442,0.481
-4.848E-13,22.468,0.485
-4.845E-13,22.540,0.484
-4.869E-13,22.566,0.487
-4.851E-13,22.594,0.485
-4.852E-13,22.663,0.485
-4.920E-13,22.721,0.492
-4.922E-13,22.749,0.492
-4.936E-13,22.793,0.494
-4.937E-13,22.872,0.494
-4.931E-13,22.907,0.493
-4.924E-13,22.925,0.492
-4.910E-13,22.981,0.491
-4.949E-13,23.012,0.495
-4.968E-13,23.023,0.497
-4.967E-13,23.040,0.497
-5.005E-13,23.085,0.501
-5.013E-13,23.131,0.501
-5.037E-13,23.128,0.504
-5.070E-13,23.154,0.507
-5.062E-13,23.211,0.506
-5.108E-13,23.232,0.511
-5.081E-13,23.271,0.508
-5.090E-13,23.318,0.509
-5.103E-13,23.356,0.510
-5.070E-13,23.375,0.507
-5.061E-13,23.424,0.506
-5.101E-13,23.483,0.510
-5.100E-13,23.504,0.510
-5.049E-13,23.524,0.505
-5.091E-13,23.572,0.509
-5.072E-13,23.594,0.507
-5.063E-13,23.615,0.506
-5.038E-13,23.670,0.504
-5.051E-13,23.703,0.505
-5.100E-13,23.716,0.510
-5.095E-13,23.770,0.510
-5.065E-13,23.814,0.507
-5.085E-13,23.828,0.509
-5.078E-13,23.865,0.508
-5.044E-13,23.895,0.504
-5.068E-13,23.904,0.507
-5.108E-13,23.938,0.511
-5.119E-13,23.998,0.512
-5.113E-13,24.025,0.511
-5.086E-13,24.024,0.509
-5.129E-13,24.108,0.513
-5.095E-13,24.163,0.510
-5.109E-13,24.182,0.511
-5.108E-13,24.228,0.511
-5.121E-13,24.293,0.512
-5.129E-13,24.325,0.513
-5.110E-13,24.350,0.511
-5.131E-13,24.397,0.513
-5.126E-13,24.436,0.513
-5.069E-13,24.448,0.507
-5.063E-13,24.487,0.506
-5.097E-13,24.537,0.510
-5.122E-13,24.557,0.512
-5.127E-13,24.600,0.513
-5.068E-13,24.688,0.507
-5.042E-13,24.728,0.504
-5.034E-13,24.751,0.503
-5.069E-13,24.868,0.507
-5.089E-13,24.954,0.509
-5.100E-13,24.986,0.510
-5.068E-13,25.022,0.507
-5.043E-13,25.135,0.504
-5.028E-13,25.191,0.503
-5.058E-13,25.211,0.506
-5.065E-13,25.262,0.506
-5.063E-13,25.329,0.506
-5.028E-13,25.358,0.503
-4.998E-13,25.389,0.500
-4.996E-13,25.458,0.500
-4.937E-13,25.499,0.494
-4.991E-13,25.511,0.499
-4.974E-13,25.528,0.497
-4.970E-13,25.574,0.497
-5.003E-13,25.595,0.500
-4.952E-13,25.600,0.495
-4.934E-13,25.634,0.493
-4.947E-13,25.721,0.495
-5.001E-13,25.765,0.500
-4.975E-13,25.783,0.497
-4.951E-13,25.788,0.495
-4.937E-13,25.789,0.494
-4.930E-13,25.790,0.493
-4.904E-13,25.789,0.490
-4.934E-13,25.800,0.493
-4.950E-13,25.813,0.495
-4.997E-13,25.823,0.500
-4.990E-13,25.827,0.499
-5.019E-13,25.850,0.502
-5.007E-13,25.891,0.501
-4.919E-13,25.911,0.492
-4.985E-13,25.919,0.498
-4.978E-13,25.933,0.498
-4.936E-13,26.012,0.494
-4.955E-13,26.078,0.496
-4.902E-13,26.114,0.490
-4.918E-13,26.114,0.492
-4.870E-13,26.119,0.487
-4.891E-13,26.155,0.489
-4.946E-13,26.175,0.495
-4.887E-13,26.186,0.489
-4.870E-13,26.190,0.487
-4.830E-13,26.189,0.483
-4.813E-13,26.190,0.481
-4.760E-13,26.202,0.476
-4.779E-13,26.187,0.478
-4.785E-13,26.233,0.478
-4.815E-13,26.280,0.481
-4.849E-13,26.294,0.485
-4.869E-13,26.319,0.487
-4.870E-13,26.403,0.487
-4.835E-13,26.446,0.484
-4.862E-13,26.485,0.486
-4.858E-13,26.495,0.486
-4.859E-13,26.507,0.486
-4.854E-13,26.545,0.485
-4.866E-13,26.562,0.487
-4.878E-13,26.570,0.488
-4.889E-13,26.583,0.489
-4.849E-13,26.599,0.485
-4.853E-13,26.606,0.485
-4.877E-13,26.607,0.488
-4.852E-13,26.610,0.485
-4.822E-13,26.611,0.482
-4.827E-13,26.611,0.483
-4.860E-13,26.610,0.486
-4.863E-13,26.606,0.486
-4.819E-13,26.610,0.482
-4.857E-13,26.609,0.486
-4.859E-13,26.608,0.486
-4.826E-13,26.608,0.483
-4.818E-13,26.609,0.482
-4.814E-13,26.600,0.481
-4.810E-13,26.608,0.481
-4.862E-13,26.608,0.486
-4.863E-13,26.620,0.486
-4.878E-13,26.685,0.488
-4.902E-13,26.731,0.490
-4.877E-13,26.760,0.488
-4.860E-13,26.844,0.486
-4.844E-13,26.942,0.484
-4.884E-13,27.005,0.488
-4.871E-13,27.022,0.487
-4.847E-13,27.060,0.485
-4.822E-13,27.164,0.482
-4.804E-13,27.213,0.480
-4.876E-13,27.230,0.488
-4.868E-13,27.249,0.487
-4.939E-13,27.285,0.494
-4.924E-13,27.329,0.492
-4.856E-13,27.345,0.486
-4.882E-13,27.365,0.488
-4.882E-13,27.419,0.488
-4.941E-13,27.442,0.494
-4.924E-13,27.453,0.492
-4.902E-13,27.460,0.490
-4.917E-13,27.503,0.492
-4.938E-13,27.563,0.494
-4.915E-13,27.585,0.492
-4.943E-13,27.594,0.494
-5.010E-13,27.601,0.501
-5.000E-13,27.685,0.500
-4.974E-13,27.751,0.497
-5.005E-13,27.783,0.501
-5.041E-13,27.794,0.504
-5.075E-13,27.811,0.508
-5.079E-13,27.848,0.508
-5.063E-13,27.860,0.506
-5.074E-13,27.877,0.507
